"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","12/03/2020",1
"15","Andhra Pradesh","19/03/2020",2
"16","Andhra Pradesh","21/03/2020",2
"17","Andhra Pradesh","22/03/2020",1
"18","Andhra Pradesh","23/03/2020",1
"19","Andhra Pradesh","24/03/2020",1
"20","Andhra Pradesh","25/03/2020",2
"21","Andhra Pradesh","26/03/2020",1
"22","Andhra Pradesh","27/03/2020",2
"23","Andhra Pradesh","28/03/2020",6
"24","Andhra Pradesh","29/03/2020",2
"25","Andhra Pradesh","30/03/2020",2
"26","Andhra Pradesh","31/03/2020",21
"27","Arunachal Pradesh","02/04/2020",1
"28","Assam","01/04/2020",15
"29","Assam","03/04/2020",7
"30","Assam","04/04/2020",3
"31","Assam","07/04/2020",2
"32","Assam","31/03/2020",1
"33","Bihar","01/04/2020",3
"34","Bihar","02/04/2020",5
"35","Bihar","03/04/2020",2
"36","Bihar","04/04/2020",1
"37","Bihar","07/04/2020",6
"38","Bihar","08/04/2020",1
"39","Bihar","22/03/2020",2
"40","Bihar","23/03/2020",1
"41","Bihar","25/03/2020",1
"42","Bihar","26/03/2020",3
"43","Bihar","27/03/2020",2
"44","Bihar","28/03/2020",2
"45","Bihar","29/03/2020",4
"46","Bihar","31/03/2020",6
"47","Chandigarh","01/04/2020",2
"48","Chandigarh","02/04/2020",1
"49","Chandigarh","19/03/2020",1
"50","Chandigarh","20/03/2020",4
"51","Chandigarh","22/03/2020",1
"52","Chandigarh","23/03/2020",1
"53","Chandigarh","27/03/2020",1
"54","Chandigarh","30/03/2020",5
"55","Chandigarh","31/03/2020",2
"56","Chhattisgarh","04/04/2020",1
"57","Chhattisgarh","19/03/2020",1
"58","Chhattisgarh","25/03/2020",2
"59","Chhattisgarh","26/03/2020",3
"60","Chhattisgarh","28/03/2020",1
"61","Chhattisgarh","30/03/2020",1
"62","Chhattisgarh","31/03/2020",1
"63","Dadra and Nagar Haveli","06/04/2020",1
"64","Delhi","01/04/2020",32
"65","Delhi","02/03/2020",1
"66","Delhi","02/04/2020",141
"67","Delhi","03/04/2020",93
"68","Delhi","04/04/2020",59
"69","Delhi","05/03/2020",1
"70","Delhi","05/04/2020",58
"71","Delhi","06/03/2020",1
"72","Delhi","06/04/2020",22
"73","Delhi","07/04/2020",51
"74","Delhi","08/04/2020",93
"75","Delhi","09/03/2020",1
"76","Delhi","11/03/2020",1
"77","Delhi","12/03/2020",1
"78","Delhi","13/03/2020",1
"79","Delhi","17/03/2020",3
"80","Delhi","18/03/2020",1
"81","Delhi","19/03/2020",3
"82","Delhi","20/03/2020",6
"83","Delhi","21/03/2020",7
"84","Delhi","22/03/2020",1
"85","Delhi","23/03/2020",2
"86","Delhi","25/03/2020",5
"87","Delhi","26/03/2020",4
"88","Delhi","27/03/2020",1
"89","Delhi","28/03/2020",9
"90","Delhi","29/03/2020",23
"91","Delhi","30/03/2020",25
"92","Delhi","31/03/2020",23
"93","Goa","03/04/2020",1
"94","Goa","04/04/2020",1
"95","Goa","25/03/2020",3
"96","Goa","29/03/2020",2
"97","Gujarat","01/04/2020",13
"98","Gujarat","02/04/2020",1
"99","Gujarat","03/04/2020",7
"100","Gujarat","04/04/2020",13
"101","Gujarat","05/04/2020",20
"102","Gujarat","06/04/2020",18
"103","Gujarat","07/04/2020",29
"104","Gujarat","08/04/2020",11
"105","Gujarat","19/03/2020",2
"106","Gujarat","20/03/2020",5
"107","Gujarat","21/03/2020",7
"108","Gujarat","22/03/2020",4
"109","Gujarat","23/03/2020",12
"110","Gujarat","24/03/2020",6
"111","Gujarat","25/03/2020",2
"112","Gujarat","26/03/2020",6
"113","Gujarat","27/03/2020",3
"114","Gujarat","28/03/2020",8
"115","Gujarat","29/03/2020",8
"116","Gujarat","30/03/2020",7
"117","Gujarat","31/03/2020",4
"118","Haryana","02/04/2020",6
"119","Haryana","03/04/2020",9
"120","Haryana","04/03/2020",14
"121","Haryana","04/04/2020",26
"122","Haryana","05/04/2020",6
"123","Haryana","06/04/2020",20
"124","Haryana","07/04/2020",33
"125","Haryana","08/04/2020",24
"126","Haryana","17/03/2020",1
"127","Haryana","18/03/2020",2
"128","Haryana","20/03/2020",2
"129","Haryana","21/03/2020",2
"130","Haryana","23/03/2020",7
"131","Haryana","24/03/2020",2
"132","Haryana","25/03/2020",1
"133","Haryana","26/03/2020",1
"134","Haryana","27/03/2020",1
"135","Haryana","28/03/2020",2
"136","Haryana","30/03/2020",1
"137","Haryana","31/03/2020",7
"138","Himachal Pradesh","02/04/2020",3
"139","Himachal Pradesh","04/04/2020",7
"140","Himachal Pradesh","05/04/2020",1
"141","Himachal Pradesh","06/04/2020",4
"142","Himachal Pradesh","07/04/2020",9
"143","Himachal Pradesh","20/03/2020",2
"144","Himachal Pradesh","23/03/2020",1
"145","Jammu and Kashmir","01/04/2020",7
"146","Jammu and Kashmir","02/04/2020",8
"147","Jammu and Kashmir","03/04/2020",5
"148","Jammu and Kashmir","04/04/2020",17
"149","Jammu and Kashmir","05/04/2020",14
"150","Jammu and Kashmir","06/04/2020",3
"151","Jammu and Kashmir","07/04/2020",16
"152","Jammu and Kashmir","08/04/2020",33
"153","Jammu and Kashmir","09/03/2020",1
"154","Jammu and Kashmir","13/03/2020",1
"155","Jammu and Kashmir","16/03/2020",1
"156","Jammu and Kashmir","18/03/2020",1
"157","Jammu and Kashmir","24/03/2020",2
"158","Jammu and Kashmir","25/03/2020",5
"159","Jammu and Kashmir","26/03/2020",3
"160","Jammu and Kashmir","27/03/2020",6
"161","Jammu and Kashmir","28/03/2020",13
"162","Jammu and Kashmir","29/03/2020",5
"163","Jammu and Kashmir","30/03/2020",11
"164","Jammu and Kashmir","31/03/2020",6
"165","Jharkhand","02/04/2020",1
"166","Jharkhand","05/04/2020",1
"167","Jharkhand","06/04/2020",1
"168","Jharkhand","31/03/2020",1
"169","Karnataka","01/04/2020",9
"170","Karnataka","02/04/2020",14
"171","Karnataka","03/04/2020",4
"172","Karnataka","04/04/2020",16
"173","Karnataka","05/04/2020",7
"174","Karnataka","06/04/2020",12
"175","Karnataka","07/04/2020",12
"176","Karnataka","08/04/2020",6
"177","Karnataka","09/03/2020",1
"178","Karnataka","10/03/2020",3
"179","Karnataka","12/03/2020",2
"180","Karnataka","16/03/2020",2
"181","Karnataka","17/03/2020",3
"182","Karnataka","18/03/2020",3
"183","Karnataka","19/03/2020",1
"184","Karnataka","21/03/2020",5
"185","Karnataka","22/03/2020",6
"186","Karnataka","23/03/2020",7
"187","Karnataka","24/03/2020",8
"188","Karnataka","25/03/2020",10
"189","Karnataka","26/03/2020",4
"190","Karnataka","27/03/2020",9
"191","Karnataka","28/03/2020",17
"192","Karnataka","29/03/2020",2
"193","Karnataka","30/03/2020",8
"194","Karnataka","31/03/2020",10
"195","Kerala","01/04/2020",24
"196","Kerala","02/02/2020",1
"197","Kerala","02/04/2020",21
"198","Kerala","03/02/2020",1
"199","Kerala","03/04/2020",9
"200","Kerala","04/04/2020",11
"201","Kerala","05/04/2020",8
"202","Kerala","06/04/2020",13
"203","Kerala","07/04/2020",9
"204","Kerala","08/03/2020",5
"205","Kerala","08/04/2020",9
"206","Kerala","09/03/2020",1
"207","Kerala","10/03/2020",8
"208","Kerala","12/03/2020",2
"209","Kerala","13/03/2020",3
"210","Kerala","15/03/2020",2
"211","Kerala","16/03/2020",3
"212","Kerala","19/03/2020",1
"213","Kerala","20/03/2020",12
"214","Kerala","21/03/2020",12
"215","Kerala","22/03/2020",15
"216","Kerala","23/03/2020",28
"217","Kerala","24/03/2020",14
"218","Kerala","25/03/2020",9
"219","Kerala","26/03/2020",19
"220","Kerala","27/03/2020",39
"221","Kerala","28/03/2020",6
"222","Kerala","29/03/2020",20
"223","Kerala","30/01/2020",1
"224","Kerala","30/03/2020",32
"225","Kerala","31/03/2020",7
"226","Ladakh","03/04/2020",1
"227","Ladakh","07/03/2020",2
"228","Ladakh","11/03/2020",1
"229","Ladakh","17/03/2020",5
"230","Ladakh","20/03/2020",2
"231","Ladakh","21/03/2020",3
"232","Madhya Pradesh","01/04/2020",32
"233","Madhya Pradesh","02/04/2020",9
"234","Madhya Pradesh","03/04/2020",47
"235","Madhya Pradesh","04/04/2020",25
"236","Madhya Pradesh","05/04/2020",14
"237","Madhya Pradesh","06/04/2020",63
"238","Madhya Pradesh","07/04/2020",34
"239","Madhya Pradesh","08/04/2020",51
"240","Madhya Pradesh","20/03/2020",4
"241","Madhya Pradesh","22/03/2020",2
"242","Madhya Pradesh","24/03/2020",1
"243","Madhya Pradesh","25/03/2020",8
"244","Madhya Pradesh","26/03/2020",5
"245","Madhya Pradesh","27/03/2020",9
"246","Madhya Pradesh","28/03/2020",10
"247","Madhya Pradesh","30/03/2020",8
"248","Madhya Pradesh","31/03/2020",19
"249","Maharashtra","01/04/2020",33
"250","Maharashtra","02/04/2020",88
"251","Maharashtra","03/04/2020",64
"252","Maharashtra","04/04/2020",148
"253","Maharashtra","05/04/2020",112
"254","Maharashtra","06/04/2020",121
"255","Maharashtra","07/04/2020",150
"256","Maharashtra","08/04/2020",117
"257","Maharashtra","09/03/2020",2
"258","Maharashtra","10/03/2020",3
"259","Maharashtra","11/03/2020",5
"260","Maharashtra","12/03/2020",4
"261","Maharashtra","13/03/2020",3
"262","Maharashtra","14/03/2020",14
"263","Maharashtra","15/03/2020",1
"264","Maharashtra","16/03/2020",7
"265","Maharashtra","17/03/2020",2
"266","Maharashtra","18/03/2020",4
"267","Maharashtra","19/03/2020",3
"268","Maharashtra","20/03/2020",6
"269","Maharashtra","21/03/2020",10
"270","Maharashtra","22/03/2020",10
"271","Maharashtra","23/03/2020",15
"272","Maharashtra","24/03/2020",18
"273","Maharashtra","25/03/2020",15
"274","Maharashtra","26/03/2020",3
"275","Maharashtra","27/03/2020",28
"276","Maharashtra","28/03/2020",28
"277","Maharashtra","29/03/2020",22
"278","Maharashtra","30/03/2020",17
"279","Maharashtra","31/03/2020",82
"280","Manipur","02/04/2020",1
"281","Manipur","24/03/2020",1
"282","Mizoram","25/03/2020",1
"283","Odisha","01/04/2020",1
"284","Odisha","03/04/2020",15
"285","Odisha","04/04/2020",1
"286","Odisha","05/04/2020",18
"287","Odisha","06/04/2020",1
"288","Odisha","07/04/2020",2
"289","Odisha","16/03/2020",1
"290","Odisha","19/03/2020",1
"291","Odisha","26/03/2020",1
"292","Odisha","31/03/2020",1
"293","Puducherry","01/04/2020",2
"294","Puducherry","02/04/2020",2
"295","Puducherry","17/03/2020",1
"296","Punjab","01/04/2020",4
"297","Punjab","02/04/2020",1
"298","Punjab","03/04/2020",6
"299","Punjab","04/04/2020",12
"300","Punjab","05/04/2020",3
"301","Punjab","06/04/2020",11
"302","Punjab","07/04/2020",20
"303","Punjab","08/04/2020",7
"304","Punjab","09/03/2020",1
"305","Punjab","19/03/2020",1
"306","Punjab","20/03/2020",1
"307","Punjab","21/03/2020",10
"308","Punjab","22/03/2020",8
"309","Punjab","23/03/2020",2
"310","Punjab","24/03/2020",6
"311","Punjab","25/03/2020",2
"312","Punjab","26/03/2020",2
"313","Punjab","27/03/2020",5
"314","Punjab","30/03/2020",3
"315","Punjab","31/03/2020",1
"316","Rajasthan","01/04/2020",27
"317","Rajasthan","02/04/2020",13
"318","Rajasthan","03/03/2020",1
"319","Rajasthan","03/04/2020",46
"320","Rajasthan","04/03/2020",1
"321","Rajasthan","04/04/2020",27
"322","Rajasthan","05/04/2020",60
"323","Rajasthan","06/04/2020",35
"324","Rajasthan","07/04/2020",42
"325","Rajasthan","08/04/2020",40
"326","Rajasthan","10/03/2020",1
"327","Rajasthan","14/03/2020",1
"328","Rajasthan","18/03/2020",3
"329","Rajasthan","19/03/2020",2
"330","Rajasthan","20/03/2020",8
"331","Rajasthan","21/03/2020",7
"332","Rajasthan","22/03/2020",5
"333","Rajasthan","23/03/2020",3
"334","Rajasthan","25/03/2020",6
"335","Rajasthan","26/03/2020",5
"336","Rajasthan","27/03/2020",7
"337","Rajasthan","28/03/2020",4
"338","Rajasthan","29/03/2020",5
"339","Rajasthan","30/03/2020",20
"340","Rajasthan","31/03/2020",14
"341","Tamil Nadu","01/04/2020",110
"342","Tamil Nadu","02/04/2020",75
"343","Tamil Nadu","03/04/2020",102
"344","Tamil Nadu","04/04/2020",74
"345","Tamil Nadu","05/04/2020",86
"346","Tamil Nadu","06/04/2020",50
"347","Tamil Nadu","07/03/2020",1
"348","Tamil Nadu","07/04/2020",69
"349","Tamil Nadu","08/04/2020",48
"350","Tamil Nadu","18/03/2020",1
"351","Tamil Nadu","19/03/2020",1
"352","Tamil Nadu","21/03/2020",3
"353","Tamil Nadu","22/03/2020",3
"354","Tamil Nadu","23/03/2020",3
"355","Tamil Nadu","24/03/2020",6
"356","Tamil Nadu","25/03/2020",8
"357","Tamil Nadu","26/03/2020",3
"358","Tamil Nadu","27/03/2020",9
"359","Tamil Nadu","28/03/2020",4
"360","Tamil Nadu","29/03/2020",8
"361","Tamil Nadu","30/03/2020",17
"362","Tamil Nadu","31/03/2020",57
"363","Telangana","01/04/2020",30
"364","Telangana","02/03/2020",1
"365","Telangana","02/04/2020",27
"366","Telangana","03/04/2020",75
"367","Telangana","04/04/2020",43
