"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","09/04/2020",15
"15","Andhra Pradesh","10/04/2020",2
"16","Andhra Pradesh","12/03/2020",1
"17","Andhra Pradesh","19/03/2020",2
"18","Andhra Pradesh","21/03/2020",2
"19","Andhra Pradesh","22/03/2020",1
"20","Andhra Pradesh","23/03/2020",1
"21","Andhra Pradesh","24/03/2020",1
"22","Andhra Pradesh","25/03/2020",2
"23","Andhra Pradesh","26/03/2020",1
"24","Andhra Pradesh","27/03/2020",2
"25","Andhra Pradesh","28/03/2020",6
"26","Andhra Pradesh","29/03/2020",2
"27","Andhra Pradesh","30/03/2020",2
"28","Andhra Pradesh","31/03/2020",21
"29","Arunachal Pradesh","02/04/2020",1
"30","Assam","01/04/2020",15
"31","Assam","03/04/2020",7
"32","Assam","04/04/2020",3
"33","Assam","07/04/2020",2
"34","Assam","09/04/2020",1
"35","Assam","31/03/2020",1
"36","Bihar","01/04/2020",3
"37","Bihar","02/04/2020",5
"38","Bihar","03/04/2020",2
"39","Bihar","04/04/2020",1
"40","Bihar","07/04/2020",6
"41","Bihar","08/04/2020",1
"42","Bihar","09/04/2020",19
"43","Bihar","10/04/2020",2
"44","Bihar","22/03/2020",2
"45","Bihar","23/03/2020",1
"46","Bihar","25/03/2020",1
"47","Bihar","26/03/2020",3
"48","Bihar","27/03/2020",2
"49","Bihar","28/03/2020",2
"50","Bihar","29/03/2020",4
"51","Bihar","31/03/2020",6
"52","Chandigarh","01/04/2020",2
"53","Chandigarh","02/04/2020",1
"54","Chandigarh","19/03/2020",1
"55","Chandigarh","20/03/2020",4
"56","Chandigarh","22/03/2020",1
"57","Chandigarh","23/03/2020",1
"58","Chandigarh","27/03/2020",1
"59","Chandigarh","30/03/2020",5
"60","Chandigarh","31/03/2020",2
"61","Chhattisgarh","04/04/2020",1
"62","Chhattisgarh","09/04/2020",8
"63","Chhattisgarh","19/03/2020",1
"64","Chhattisgarh","25/03/2020",2
"65","Chhattisgarh","26/03/2020",3
"66","Chhattisgarh","28/03/2020",1
"67","Chhattisgarh","30/03/2020",1
"68","Chhattisgarh","31/03/2020",1
"69","Dadra and Nagar Haveli","06/04/2020",1
"70","Delhi","01/04/2020",32
"71","Delhi","02/03/2020",1
"72","Delhi","02/04/2020",141
"73","Delhi","03/04/2020",93
"74","Delhi","04/04/2020",59
"75","Delhi","05/03/2020",1
"76","Delhi","05/04/2020",58
"77","Delhi","06/03/2020",1
"78","Delhi","06/04/2020",22
"79","Delhi","07/04/2020",51
"80","Delhi","08/04/2020",93
"81","Delhi","09/03/2020",1
"82","Delhi","09/04/2020",51
"83","Delhi","11/03/2020",1
"84","Delhi","12/03/2020",1
"85","Delhi","13/03/2020",1
"86","Delhi","17/03/2020",3
"87","Delhi","18/03/2020",1
"88","Delhi","19/03/2020",3
"89","Delhi","20/03/2020",6
"90","Delhi","21/03/2020",7
"91","Delhi","22/03/2020",1
"92","Delhi","23/03/2020",2
"93","Delhi","25/03/2020",5
"94","Delhi","26/03/2020",4
"95","Delhi","27/03/2020",1
"96","Delhi","28/03/2020",9
"97","Delhi","29/03/2020",23
"98","Delhi","30/03/2020",25
"99","Delhi","31/03/2020",23
"100","Goa","03/04/2020",1
"101","Goa","04/04/2020",1
"102","Goa","25/03/2020",3
"103","Goa","29/03/2020",2
"104","Gujarat","01/04/2020",13
"105","Gujarat","02/04/2020",1
"106","Gujarat","03/04/2020",7
"107","Gujarat","04/04/2020",13
"108","Gujarat","05/04/2020",20
"109","Gujarat","06/04/2020",18
"110","Gujarat","07/04/2020",29
"111","Gujarat","08/04/2020",11
"112","Gujarat","09/04/2020",76
"113","Gujarat","10/04/2020",46
"114","Gujarat","19/03/2020",2
"115","Gujarat","20/03/2020",5
"116","Gujarat","21/03/2020",7
"117","Gujarat","22/03/2020",4
"118","Gujarat","23/03/2020",12
"119","Gujarat","24/03/2020",6
"120","Gujarat","25/03/2020",2
"121","Gujarat","26/03/2020",6
"122","Gujarat","27/03/2020",3
"123","Gujarat","28/03/2020",8
"124","Gujarat","29/03/2020",8
"125","Gujarat","30/03/2020",7
"126","Gujarat","31/03/2020",4
"127","Haryana","02/04/2020",6
"128","Haryana","03/04/2020",9
"129","Haryana","04/03/2020",14
"130","Haryana","04/04/2020",26
"131","Haryana","05/04/2020",6
"132","Haryana","06/04/2020",20
"133","Haryana","07/04/2020",33
"134","Haryana","08/04/2020",24
"135","Haryana","09/04/2020",3
"136","Haryana","10/04/2020",5
"137","Haryana","17/03/2020",1
"138","Haryana","18/03/2020",2
"139","Haryana","20/03/2020",2
"140","Haryana","21/03/2020",2
"141","Haryana","23/03/2020",7
"142","Haryana","24/03/2020",2
"143","Haryana","25/03/2020",1
"144","Haryana","26/03/2020",1
"145","Haryana","27/03/2020",1
"146","Haryana","28/03/2020",2
"147","Haryana","30/03/2020",1
"148","Haryana","31/03/2020",7
"149","Himachal Pradesh","02/04/2020",3
"150","Himachal Pradesh","04/04/2020",7
"151","Himachal Pradesh","05/04/2020",1
"152","Himachal Pradesh","06/04/2020",4
"153","Himachal Pradesh","07/04/2020",9
"154","Himachal Pradesh","09/04/2020",1
"155","Himachal Pradesh","20/03/2020",2
"156","Himachal Pradesh","23/03/2020",1
"157","Jammu and Kashmir","01/04/2020",7
"158","Jammu and Kashmir","02/04/2020",8
"159","Jammu and Kashmir","03/04/2020",5
"160","Jammu and Kashmir","04/04/2020",17
"161","Jammu and Kashmir","05/04/2020",14
"162","Jammu and Kashmir","06/04/2020",3
"163","Jammu and Kashmir","07/04/2020",16
"164","Jammu and Kashmir","08/04/2020",33
"165","Jammu and Kashmir","09/03/2020",1
"166","Jammu and Kashmir","09/04/2020",26
"167","Jammu and Kashmir","13/03/2020",1
"168","Jammu and Kashmir","16/03/2020",1
"169","Jammu and Kashmir","18/03/2020",1
"170","Jammu and Kashmir","24/03/2020",2
"171","Jammu and Kashmir","25/03/2020",5
"172","Jammu and Kashmir","26/03/2020",3
"173","Jammu and Kashmir","27/03/2020",6
"174","Jammu and Kashmir","28/03/2020",13
"175","Jammu and Kashmir","29/03/2020",5
"176","Jammu and Kashmir","30/03/2020",11
"177","Jammu and Kashmir","31/03/2020",6
"178","Jharkhand","02/04/2020",1
"179","Jharkhand","05/04/2020",1
"180","Jharkhand","06/04/2020",1
"181","Jharkhand","09/04/2020",9
"182","Jharkhand","10/04/2020",1
"183","Jharkhand","31/03/2020",1
"184","Karnataka","01/04/2020",9
"185","Karnataka","02/04/2020",14
"186","Karnataka","03/04/2020",4
"187","Karnataka","04/04/2020",16
"188","Karnataka","05/04/2020",7
"189","Karnataka","06/04/2020",12
"190","Karnataka","07/04/2020",12
"191","Karnataka","08/04/2020",6
"192","Karnataka","09/03/2020",1
"193","Karnataka","09/04/2020",16
"194","Karnataka","10/03/2020",3
"195","Karnataka","12/03/2020",2
"196","Karnataka","16/03/2020",2
"197","Karnataka","17/03/2020",3
"198","Karnataka","18/03/2020",3
"199","Karnataka","19/03/2020",1
"200","Karnataka","21/03/2020",5
"201","Karnataka","22/03/2020",6
"202","Karnataka","23/03/2020",7
"203","Karnataka","24/03/2020",8
"204","Karnataka","25/03/2020",10
"205","Karnataka","26/03/2020",4
"206","Karnataka","27/03/2020",9
"207","Karnataka","28/03/2020",17
"208","Karnataka","29/03/2020",2
"209","Karnataka","30/03/2020",8
"210","Karnataka","31/03/2020",10
"211","Kerala","01/04/2020",24
"212","Kerala","02/02/2020",1
"213","Kerala","02/04/2020",21
"214","Kerala","03/02/2020",1
"215","Kerala","03/04/2020",9
"216","Kerala","04/04/2020",11
"217","Kerala","05/04/2020",8
"218","Kerala","06/04/2020",13
"219","Kerala","07/04/2020",9
"220","Kerala","08/03/2020",5
"221","Kerala","08/04/2020",9
"222","Kerala","09/03/2020",1
"223","Kerala","09/04/2020",12
"224","Kerala","10/03/2020",8
"225","Kerala","12/03/2020",2
"226","Kerala","13/03/2020",3
"227","Kerala","15/03/2020",2
"228","Kerala","16/03/2020",3
"229","Kerala","19/03/2020",1
"230","Kerala","20/03/2020",12
"231","Kerala","21/03/2020",12
"232","Kerala","22/03/2020",15
"233","Kerala","23/03/2020",28
"234","Kerala","24/03/2020",14
"235","Kerala","25/03/2020",9
"236","Kerala","26/03/2020",19
"237","Kerala","27/03/2020",39
"238","Kerala","28/03/2020",6
"239","Kerala","29/03/2020",20
"240","Kerala","30/01/2020",1
"241","Kerala","30/03/2020",32
"242","Kerala","31/03/2020",7
"243","Ladakh","03/04/2020",1
"244","Ladakh","07/03/2020",2
"245","Ladakh","10/04/2020",1
"246","Ladakh","11/03/2020",1
"247","Ladakh","17/03/2020",5
"248","Ladakh","20/03/2020",2
"249","Ladakh","21/03/2020",3
"250","Madhya Pradesh","01/04/2020",32
"251","Madhya Pradesh","02/04/2020",9
"252","Madhya Pradesh","03/04/2020",47
"253","Madhya Pradesh","04/04/2020",25
"254","Madhya Pradesh","05/04/2020",14
"255","Madhya Pradesh","06/04/2020",63
"256","Madhya Pradesh","07/04/2020",34
"257","Madhya Pradesh","08/04/2020",51
"258","Madhya Pradesh","09/04/2020",70
"259","Madhya Pradesh","20/03/2020",4
"260","Madhya Pradesh","22/03/2020",2
"261","Madhya Pradesh","24/03/2020",1
"262","Madhya Pradesh","25/03/2020",8
"263","Madhya Pradesh","26/03/2020",5
"264","Madhya Pradesh","27/03/2020",9
"265","Madhya Pradesh","28/03/2020",10
"266","Madhya Pradesh","30/03/2020",8
"267","Madhya Pradesh","31/03/2020",19
"268","Maharashtra","01/04/2020",33
"269","Maharashtra","02/04/2020",88
"270","Maharashtra","03/04/2020",64
"271","Maharashtra","04/04/2020",148
"272","Maharashtra","05/04/2020",112
"273","Maharashtra","06/04/2020",121
"274","Maharashtra","07/04/2020",150
"275","Maharashtra","08/04/2020",117
"276","Maharashtra","09/03/2020",2
"277","Maharashtra","09/04/2020",229
"278","Maharashtra","10/03/2020",3
"279","Maharashtra","11/03/2020",5
"280","Maharashtra","12/03/2020",4
"281","Maharashtra","13/03/2020",3
"282","Maharashtra","14/03/2020",14
"283","Maharashtra","15/03/2020",1
"284","Maharashtra","16/03/2020",7
"285","Maharashtra","17/03/2020",2
"286","Maharashtra","18/03/2020",4
"287","Maharashtra","19/03/2020",3
"288","Maharashtra","20/03/2020",6
"289","Maharashtra","21/03/2020",10
"290","Maharashtra","22/03/2020",10
"291","Maharashtra","23/03/2020",15
"292","Maharashtra","24/03/2020",18
"293","Maharashtra","25/03/2020",15
"294","Maharashtra","26/03/2020",3
"295","Maharashtra","27/03/2020",28
"296","Maharashtra","28/03/2020",28
"297","Maharashtra","29/03/2020",22
"298","Maharashtra","30/03/2020",17
"299","Maharashtra","31/03/2020",82
"300","Manipur","02/04/2020",1
"301","Manipur","24/03/2020",1
"302","Mizoram","25/03/2020",1
"303","Odisha","01/04/2020",1
"304","Odisha","03/04/2020",15
"305","Odisha","04/04/2020",1
"306","Odisha","05/04/2020",18
"307","Odisha","06/04/2020",1
"308","Odisha","07/04/2020",2
"309","Odisha","09/04/2020",6
"310","Odisha","16/03/2020",1
"311","Odisha","19/03/2020",1
"312","Odisha","26/03/2020",1
"313","Odisha","31/03/2020",1
"314","Puducherry","01/04/2020",2
"315","Puducherry","02/04/2020",2
"316","Puducherry","17/03/2020",1
"317","Punjab","01/04/2020",4
"318","Punjab","02/04/2020",1
"319","Punjab","03/04/2020",6
"320","Punjab","04/04/2020",12
"321","Punjab","05/04/2020",3
"322","Punjab","06/04/2020",11
"323","Punjab","07/04/2020",20
"324","Punjab","08/04/2020",7
"325","Punjab","09/03/2020",1
"326","Punjab","09/04/2020",24
"327","Punjab","19/03/2020",1
"328","Punjab","20/03/2020",1
"329","Punjab","21/03/2020",10
"330","Punjab","22/03/2020",8
"331","Punjab","23/03/2020",2
"332","Punjab","24/03/2020",6
"333","Punjab","25/03/2020",2
"334","Punjab","26/03/2020",2
"335","Punjab","27/03/2020",5
"336","Punjab","30/03/2020",3
"337","Punjab","31/03/2020",1
"338","Rajasthan","01/04/2020",27
"339","Rajasthan","02/04/2020",13
"340","Rajasthan","03/03/2020",1
"341","Rajasthan","03/04/2020",46
"342","Rajasthan","04/03/2020",1
"343","Rajasthan","04/04/2020",27
"344","Rajasthan","05/04/2020",60
"345","Rajasthan","06/04/2020",35
"346","Rajasthan","07/04/2020",42
"347","Rajasthan","08/04/2020",40
"348","Rajasthan","09/04/2020",80
"349","Rajasthan","10/03/2020",1
"350","Rajasthan","10/04/2020",26
"351","Rajasthan","14/03/2020",1
"352","Rajasthan","18/03/2020",3
"353","Rajasthan","19/03/2020",2
"354","Rajasthan","20/03/2020",8
"355","Rajasthan","21/03/2020",7
"356","Rajasthan","22/03/2020",5
"357","Rajasthan","23/03/2020",3
"358","Rajasthan","25/03/2020",6
"359","Rajasthan","26/03/2020",5
"360","Rajasthan","27/03/2020",7
"361","Rajasthan","28/03/2020",4
"362","Rajasthan","29/03/2020",5
"363","Rajasthan","30/03/2020",20
"364","Rajasthan","31/03/2020",14
"365","Tamil Nadu","01/04/2020",110
"366","Tamil Nadu","02/04/2020",75
"367","Tamil Nadu","03/04/2020",102
"368","Tamil Nadu","04/04/2020",74
