"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",15
"14","Andhra Pradesh","12/03/2020",1
"15","Andhra Pradesh","19/03/2020",2
"16","Andhra Pradesh","21/03/2020",2
"17","Andhra Pradesh","22/03/2020",1
"18","Andhra Pradesh","23/03/2020",1
"19","Andhra Pradesh","24/03/2020",1
"20","Andhra Pradesh","25/03/2020",2
"21","Andhra Pradesh","26/03/2020",1
"22","Andhra Pradesh","27/03/2020",2
"23","Andhra Pradesh","28/03/2020",6
"24","Andhra Pradesh","29/03/2020",2
"25","Andhra Pradesh","30/03/2020",2
"26","Andhra Pradesh","31/03/2020",21
"27","Arunachal Pradesh","02/04/2020",1
"28","Assam","01/04/2020",15
"29","Assam","03/04/2020",7
"30","Assam","04/04/2020",3
"31","Assam","07/04/2020",2
"32","Assam","31/03/2020",1
"33","Bihar","01/04/2020",3
"34","Bihar","02/04/2020",5
"35","Bihar","03/04/2020",2
"36","Bihar","04/04/2020",1
"37","Bihar","07/04/2020",6
"38","Bihar","22/03/2020",2
"39","Bihar","23/03/2020",1
"40","Bihar","25/03/2020",1
"41","Bihar","26/03/2020",3
"42","Bihar","27/03/2020",2
"43","Bihar","28/03/2020",2
"44","Bihar","29/03/2020",4
"45","Bihar","31/03/2020",6
"46","Chandigarh","01/04/2020",2
"47","Chandigarh","02/04/2020",1
"48","Chandigarh","19/03/2020",1
"49","Chandigarh","20/03/2020",4
"50","Chandigarh","22/03/2020",1
"51","Chandigarh","23/03/2020",1
"52","Chandigarh","27/03/2020",1
"53","Chandigarh","30/03/2020",5
"54","Chandigarh","31/03/2020",2
"55","Chhattisgarh","04/04/2020",1
"56","Chhattisgarh","19/03/2020",1
"57","Chhattisgarh","25/03/2020",2
"58","Chhattisgarh","26/03/2020",3
"59","Chhattisgarh","28/03/2020",1
"60","Chhattisgarh","30/03/2020",1
"61","Chhattisgarh","31/03/2020",1
"62","Dadra and Nagar Haveli","06/04/2020",1
"63","Delhi","01/04/2020",32
"64","Delhi","02/03/2020",1
"65","Delhi","02/04/2020",141
"66","Delhi","03/04/2020",93
"67","Delhi","04/04/2020",59
"68","Delhi","05/03/2020",1
"69","Delhi","05/04/2020",58
"70","Delhi","06/03/2020",1
"71","Delhi","06/04/2020",22
"72","Delhi","07/04/2020",51
"73","Delhi","09/03/2020",1
"74","Delhi","11/03/2020",1
"75","Delhi","12/03/2020",1
"76","Delhi","13/03/2020",1
"77","Delhi","17/03/2020",3
"78","Delhi","18/03/2020",1
"79","Delhi","19/03/2020",3
"80","Delhi","20/03/2020",6
"81","Delhi","21/03/2020",7
"82","Delhi","22/03/2020",1
"83","Delhi","23/03/2020",2
"84","Delhi","25/03/2020",5
"85","Delhi","26/03/2020",4
"86","Delhi","27/03/2020",1
"87","Delhi","28/03/2020",9
"88","Delhi","29/03/2020",23
"89","Delhi","30/03/2020",25
"90","Delhi","31/03/2020",23
"91","Goa","03/04/2020",1
"92","Goa","04/04/2020",1
"93","Goa","25/03/2020",3
"94","Goa","29/03/2020",2
"95","Gujarat","01/04/2020",13
"96","Gujarat","02/04/2020",1
"97","Gujarat","03/04/2020",7
"98","Gujarat","04/04/2020",13
"99","Gujarat","05/04/2020",20
"100","Gujarat","06/04/2020",18
"101","Gujarat","07/04/2020",29
"102","Gujarat","08/04/2020",4
"103","Gujarat","19/03/2020",2
"104","Gujarat","20/03/2020",5
"105","Gujarat","21/03/2020",7
"106","Gujarat","22/03/2020",4
"107","Gujarat","23/03/2020",12
"108","Gujarat","24/03/2020",6
"109","Gujarat","25/03/2020",2
"110","Gujarat","26/03/2020",6
"111","Gujarat","27/03/2020",3
"112","Gujarat","28/03/2020",8
"113","Gujarat","29/03/2020",8
"114","Gujarat","30/03/2020",7
"115","Gujarat","31/03/2020",4
"116","Haryana","02/04/2020",6
"117","Haryana","03/04/2020",9
"118","Haryana","04/03/2020",14
"119","Haryana","04/04/2020",26
"120","Haryana","05/04/2020",6
"121","Haryana","06/04/2020",20
"122","Haryana","07/04/2020",33
"123","Haryana","08/04/2020",12
"124","Haryana","17/03/2020",1
"125","Haryana","18/03/2020",2
"126","Haryana","20/03/2020",2
"127","Haryana","21/03/2020",2
"128","Haryana","23/03/2020",7
"129","Haryana","24/03/2020",2
"130","Haryana","25/03/2020",1
"131","Haryana","26/03/2020",1
"132","Haryana","27/03/2020",1
"133","Haryana","28/03/2020",2
"134","Haryana","30/03/2020",1
"135","Haryana","31/03/2020",7
"136","Himachal Pradesh","02/04/2020",3
"137","Himachal Pradesh","04/04/2020",7
"138","Himachal Pradesh","05/04/2020",1
"139","Himachal Pradesh","06/04/2020",4
"140","Himachal Pradesh","07/04/2020",9
"141","Himachal Pradesh","20/03/2020",2
"142","Himachal Pradesh","23/03/2020",1
"143","Jammu and Kashmir","01/04/2020",7
"144","Jammu and Kashmir","02/04/2020",8
"145","Jammu and Kashmir","03/04/2020",5
"146","Jammu and Kashmir","04/04/2020",17
"147","Jammu and Kashmir","05/04/2020",14
"148","Jammu and Kashmir","06/04/2020",3
"149","Jammu and Kashmir","07/04/2020",16
"150","Jammu and Kashmir","08/04/2020",14
"151","Jammu and Kashmir","09/03/2020",1
"152","Jammu and Kashmir","13/03/2020",1
"153","Jammu and Kashmir","16/03/2020",1
"154","Jammu and Kashmir","18/03/2020",1
"155","Jammu and Kashmir","24/03/2020",2
"156","Jammu and Kashmir","25/03/2020",5
"157","Jammu and Kashmir","26/03/2020",3
"158","Jammu and Kashmir","27/03/2020",6
"159","Jammu and Kashmir","28/03/2020",13
"160","Jammu and Kashmir","29/03/2020",5
"161","Jammu and Kashmir","30/03/2020",11
"162","Jammu and Kashmir","31/03/2020",6
"163","Jharkhand","02/04/2020",1
"164","Jharkhand","05/04/2020",1
"165","Jharkhand","06/04/2020",1
"166","Jharkhand","31/03/2020",1
"167","Karnataka","01/04/2020",9
"168","Karnataka","02/04/2020",14
"169","Karnataka","03/04/2020",4
"170","Karnataka","04/04/2020",16
"171","Karnataka","05/04/2020",7
"172","Karnataka","06/04/2020",12
"173","Karnataka","07/04/2020",12
"174","Karnataka","08/04/2020",6
"175","Karnataka","09/03/2020",1
"176","Karnataka","10/03/2020",3
"177","Karnataka","12/03/2020",2
"178","Karnataka","16/03/2020",2
"179","Karnataka","17/03/2020",3
"180","Karnataka","18/03/2020",3
"181","Karnataka","19/03/2020",1
"182","Karnataka","21/03/2020",5
"183","Karnataka","22/03/2020",6
"184","Karnataka","23/03/2020",7
"185","Karnataka","24/03/2020",8
"186","Karnataka","25/03/2020",10
"187","Karnataka","26/03/2020",4
"188","Karnataka","27/03/2020",9
"189","Karnataka","28/03/2020",17
"190","Karnataka","29/03/2020",2
"191","Karnataka","30/03/2020",8
"192","Karnataka","31/03/2020",10
"193","Kerala","01/04/2020",24
"194","Kerala","02/02/2020",1
"195","Kerala","02/04/2020",21
"196","Kerala","03/02/2020",1
"197","Kerala","03/04/2020",9
"198","Kerala","04/04/2020",11
"199","Kerala","05/04/2020",8
"200","Kerala","06/04/2020",13
"201","Kerala","07/04/2020",9
"202","Kerala","08/03/2020",5
"203","Kerala","09/03/2020",1
"204","Kerala","10/03/2020",8
"205","Kerala","12/03/2020",2
"206","Kerala","13/03/2020",3
"207","Kerala","15/03/2020",2
"208","Kerala","16/03/2020",3
"209","Kerala","19/03/2020",1
"210","Kerala","20/03/2020",12
"211","Kerala","21/03/2020",12
"212","Kerala","22/03/2020",15
"213","Kerala","23/03/2020",28
"214","Kerala","24/03/2020",14
"215","Kerala","25/03/2020",9
"216","Kerala","26/03/2020",19
"217","Kerala","27/03/2020",39
"218","Kerala","28/03/2020",6
"219","Kerala","29/03/2020",20
"220","Kerala","30/01/2020",1
"221","Kerala","30/03/2020",32
"222","Kerala","31/03/2020",7
"223","Ladakh","03/04/2020",1
"224","Ladakh","07/03/2020",2
"225","Ladakh","11/03/2020",1
"226","Ladakh","17/03/2020",5
"227","Ladakh","20/03/2020",2
"228","Ladakh","21/03/2020",3
"229","Madhya Pradesh","01/04/2020",32
"230","Madhya Pradesh","02/04/2020",9
"231","Madhya Pradesh","03/04/2020",47
"232","Madhya Pradesh","04/04/2020",25
"233","Madhya Pradesh","05/04/2020",14
"234","Madhya Pradesh","06/04/2020",63
"235","Madhya Pradesh","07/04/2020",34
"236","Madhya Pradesh","20/03/2020",4
"237","Madhya Pradesh","22/03/2020",2
"238","Madhya Pradesh","24/03/2020",1
"239","Madhya Pradesh","25/03/2020",8
"240","Madhya Pradesh","26/03/2020",5
"241","Madhya Pradesh","27/03/2020",9
"242","Madhya Pradesh","28/03/2020",10
"243","Madhya Pradesh","30/03/2020",8
"244","Madhya Pradesh","31/03/2020",19
"245","Maharashtra","01/04/2020",33
"246","Maharashtra","02/04/2020",88
"247","Maharashtra","03/04/2020",64
"248","Maharashtra","04/04/2020",148
"249","Maharashtra","05/04/2020",112
"250","Maharashtra","06/04/2020",121
"251","Maharashtra","07/04/2020",150
"252","Maharashtra","08/04/2020",60
"253","Maharashtra","09/03/2020",2
"254","Maharashtra","10/03/2020",3
"255","Maharashtra","11/03/2020",5
"256","Maharashtra","12/03/2020",4
"257","Maharashtra","13/03/2020",3
"258","Maharashtra","14/03/2020",14
"259","Maharashtra","15/03/2020",1
"260","Maharashtra","16/03/2020",7
"261","Maharashtra","17/03/2020",2
"262","Maharashtra","18/03/2020",4
"263","Maharashtra","19/03/2020",3
"264","Maharashtra","20/03/2020",6
"265","Maharashtra","21/03/2020",10
"266","Maharashtra","22/03/2020",10
"267","Maharashtra","23/03/2020",15
"268","Maharashtra","24/03/2020",18
"269","Maharashtra","25/03/2020",15
"270","Maharashtra","26/03/2020",3
"271","Maharashtra","27/03/2020",28
"272","Maharashtra","28/03/2020",28
"273","Maharashtra","29/03/2020",22
"274","Maharashtra","30/03/2020",17
"275","Maharashtra","31/03/2020",82
"276","Manipur","02/04/2020",1
"277","Manipur","24/03/2020",1
"278","Mizoram","25/03/2020",1
"279","Odisha","01/04/2020",1
"280","Odisha","03/04/2020",15
"281","Odisha","04/04/2020",1
"282","Odisha","05/04/2020",18
"283","Odisha","06/04/2020",1
"284","Odisha","07/04/2020",2
"285","Odisha","16/03/2020",1
"286","Odisha","19/03/2020",1
"287","Odisha","26/03/2020",1
"288","Odisha","31/03/2020",1
"289","Puducherry","01/04/2020",2
"290","Puducherry","02/04/2020",2
"291","Puducherry","17/03/2020",1
"292","Punjab","01/04/2020",4
"293","Punjab","02/04/2020",1
"294","Punjab","03/04/2020",6
"295","Punjab","04/04/2020",12
"296","Punjab","05/04/2020",3
"297","Punjab","06/04/2020",11
"298","Punjab","07/04/2020",20
"299","Punjab","08/04/2020",2
"300","Punjab","09/03/2020",1
"301","Punjab","19/03/2020",1
"302","Punjab","20/03/2020",1
"303","Punjab","21/03/2020",10
"304","Punjab","22/03/2020",8
"305","Punjab","23/03/2020",2
"306","Punjab","24/03/2020",6
"307","Punjab","25/03/2020",2
"308","Punjab","26/03/2020",2
"309","Punjab","27/03/2020",5
"310","Punjab","30/03/2020",3
"311","Punjab","31/03/2020",1
"312","Rajasthan","01/04/2020",27
"313","Rajasthan","02/04/2020",13
"314","Rajasthan","03/03/2020",1
"315","Rajasthan","03/04/2020",46
"316","Rajasthan","04/03/2020",1
"317","Rajasthan","04/04/2020",27
"318","Rajasthan","05/04/2020",60
"319","Rajasthan","06/04/2020",35
"320","Rajasthan","07/04/2020",42
"321","Rajasthan","08/04/2020",20
"322","Rajasthan","10/03/2020",1
"323","Rajasthan","14/03/2020",1
"324","Rajasthan","18/03/2020",3
"325","Rajasthan","19/03/2020",2
"326","Rajasthan","20/03/2020",8
"327","Rajasthan","21/03/2020",7
"328","Rajasthan","22/03/2020",5
"329","Rajasthan","23/03/2020",3
"330","Rajasthan","25/03/2020",6
"331","Rajasthan","26/03/2020",5
"332","Rajasthan","27/03/2020",7
"333","Rajasthan","28/03/2020",4
"334","Rajasthan","29/03/2020",5
"335","Rajasthan","30/03/2020",20
"336","Rajasthan","31/03/2020",14
"337","Tamil Nadu","01/04/2020",110
"338","Tamil Nadu","02/04/2020",75
"339","Tamil Nadu","03/04/2020",102
"340","Tamil Nadu","04/04/2020",74
"341","Tamil Nadu","05/04/2020",86
"342","Tamil Nadu","06/04/2020",50
"343","Tamil Nadu","07/03/2020",1
"344","Tamil Nadu","07/04/2020",69
"345","Tamil Nadu","18/03/2020",1
"346","Tamil Nadu","19/03/2020",1
"347","Tamil Nadu","21/03/2020",3
"348","Tamil Nadu","22/03/2020",3
"349","Tamil Nadu","23/03/2020",3
"350","Tamil Nadu","24/03/2020",6
"351","Tamil Nadu","25/03/2020",8
"352","Tamil Nadu","26/03/2020",3
"353","Tamil Nadu","27/03/2020",9
"354","Tamil Nadu","28/03/2020",4
"355","Tamil Nadu","29/03/2020",8
"356","Tamil Nadu","30/03/2020",17
"357","Tamil Nadu","31/03/2020",57
"358","Telangana","01/04/2020",30
"359","Telangana","02/03/2020",1
"360","Telangana","02/04/2020",27
"361","Telangana","03/04/2020",75
"362","Telangana","04/04/2020",43
"363","Telangana","05/04/2020",62
"364","Telangana","06/04/2020",30
"365","Telangana","07/04/2020",40
"366","Telangana","14/03/2020",1
"367","Telangana","15/03/2020",1
