"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","09/04/2020",15
"15","Andhra Pradesh","10/04/2020",18
"16","Andhra Pradesh","12/03/2020",1
"17","Andhra Pradesh","19/03/2020",2
"18","Andhra Pradesh","21/03/2020",2
"19","Andhra Pradesh","22/03/2020",1
"20","Andhra Pradesh","23/03/2020",1
"21","Andhra Pradesh","24/03/2020",1
"22","Andhra Pradesh","25/03/2020",2
"23","Andhra Pradesh","26/03/2020",1
"24","Andhra Pradesh","27/03/2020",2
"25","Andhra Pradesh","28/03/2020",6
"26","Andhra Pradesh","29/03/2020",2
"27","Andhra Pradesh","30/03/2020",2
"28","Andhra Pradesh","31/03/2020",21
"29","Arunachal Pradesh","02/04/2020",1
"30","Assam","01/04/2020",15
"31","Assam","03/04/2020",7
"32","Assam","04/04/2020",3
"33","Assam","07/04/2020",2
"34","Assam","09/04/2020",1
"35","Assam","31/03/2020",1
"36","Bihar","01/04/2020",3
"37","Bihar","02/04/2020",5
"38","Bihar","03/04/2020",2
"39","Bihar","04/04/2020",1
"40","Bihar","07/04/2020",6
"41","Bihar","08/04/2020",1
"42","Bihar","09/04/2020",19
"43","Bihar","10/04/2020",2
"44","Bihar","22/03/2020",2
"45","Bihar","23/03/2020",1
"46","Bihar","25/03/2020",1
"47","Bihar","26/03/2020",3
"48","Bihar","27/03/2020",2
"49","Bihar","28/03/2020",2
"50","Bihar","29/03/2020",4
"51","Bihar","31/03/2020",6
"52","Chandigarh","01/04/2020",2
"53","Chandigarh","02/04/2020",1
"54","Chandigarh","10/04/2020",1
"55","Chandigarh","19/03/2020",1
"56","Chandigarh","20/03/2020",4
"57","Chandigarh","22/03/2020",1
"58","Chandigarh","23/03/2020",1
"59","Chandigarh","27/03/2020",1
"60","Chandigarh","30/03/2020",5
"61","Chandigarh","31/03/2020",2
"62","Chhattisgarh","04/04/2020",1
"63","Chhattisgarh","09/04/2020",8
"64","Chhattisgarh","19/03/2020",1
"65","Chhattisgarh","25/03/2020",2
"66","Chhattisgarh","26/03/2020",3
"67","Chhattisgarh","28/03/2020",1
"68","Chhattisgarh","30/03/2020",1
"69","Chhattisgarh","31/03/2020",1
"70","Dadra and Nagar Haveli","06/04/2020",1
"71","Delhi","01/04/2020",32
"72","Delhi","02/03/2020",1
"73","Delhi","02/04/2020",141
"74","Delhi","03/04/2020",93
"75","Delhi","04/04/2020",59
"76","Delhi","05/03/2020",1
"77","Delhi","05/04/2020",58
"78","Delhi","06/03/2020",1
"79","Delhi","06/04/2020",22
"80","Delhi","07/04/2020",51
"81","Delhi","08/04/2020",93
"82","Delhi","09/03/2020",1
"83","Delhi","09/04/2020",51
"84","Delhi","10/04/2020",183
"85","Delhi","11/03/2020",1
"86","Delhi","12/03/2020",1
"87","Delhi","13/03/2020",1
"88","Delhi","17/03/2020",3
"89","Delhi","18/03/2020",1
"90","Delhi","19/03/2020",3
"91","Delhi","20/03/2020",6
"92","Delhi","21/03/2020",7
"93","Delhi","22/03/2020",1
"94","Delhi","23/03/2020",2
"95","Delhi","25/03/2020",5
"96","Delhi","26/03/2020",4
"97","Delhi","27/03/2020",1
"98","Delhi","28/03/2020",9
"99","Delhi","29/03/2020",23
"100","Delhi","30/03/2020",25
"101","Delhi","31/03/2020",23
"102","Goa","03/04/2020",1
"103","Goa","04/04/2020",1
"104","Goa","25/03/2020",3
"105","Goa","29/03/2020",2
"106","Gujarat","01/04/2020",13
"107","Gujarat","02/04/2020",1
"108","Gujarat","03/04/2020",7
"109","Gujarat","04/04/2020",13
"110","Gujarat","05/04/2020",20
"111","Gujarat","06/04/2020",18
"112","Gujarat","07/04/2020",29
"113","Gujarat","08/04/2020",11
"114","Gujarat","09/04/2020",76
"115","Gujarat","10/04/2020",116
"116","Gujarat","11/04/2020",54
"117","Gujarat","19/03/2020",2
"118","Gujarat","20/03/2020",5
"119","Gujarat","21/03/2020",7
"120","Gujarat","22/03/2020",4
"121","Gujarat","23/03/2020",12
"122","Gujarat","24/03/2020",6
"123","Gujarat","25/03/2020",2
"124","Gujarat","26/03/2020",6
"125","Gujarat","27/03/2020",3
"126","Gujarat","28/03/2020",8
"127","Gujarat","29/03/2020",8
"128","Gujarat","30/03/2020",7
"129","Gujarat","31/03/2020",4
"130","Haryana","02/04/2020",6
"131","Haryana","03/04/2020",9
"132","Haryana","04/03/2020",14
"133","Haryana","04/04/2020",26
"134","Haryana","05/04/2020",6
"135","Haryana","06/04/2020",20
"136","Haryana","07/04/2020",33
"137","Haryana","08/04/2020",24
"138","Haryana","09/04/2020",3
"139","Haryana","10/04/2020",6
"140","Haryana","17/03/2020",1
"141","Haryana","18/03/2020",2
"142","Haryana","20/03/2020",2
"143","Haryana","21/03/2020",2
"144","Haryana","23/03/2020",7
"145","Haryana","24/03/2020",2
"146","Haryana","25/03/2020",1
"147","Haryana","26/03/2020",1
"148","Haryana","27/03/2020",1
"149","Haryana","28/03/2020",2
"150","Haryana","30/03/2020",1
"151","Haryana","31/03/2020",7
"152","Himachal Pradesh","02/04/2020",3
"153","Himachal Pradesh","04/04/2020",7
"154","Himachal Pradesh","05/04/2020",1
"155","Himachal Pradesh","06/04/2020",4
"156","Himachal Pradesh","07/04/2020",9
"157","Himachal Pradesh","09/04/2020",1
"158","Himachal Pradesh","11/04/2020",2
"159","Himachal Pradesh","20/03/2020",2
"160","Himachal Pradesh","23/03/2020",1
"161","Jammu and Kashmir","01/04/2020",7
"162","Jammu and Kashmir","02/04/2020",8
"163","Jammu and Kashmir","03/04/2020",5
"164","Jammu and Kashmir","04/04/2020",17
"165","Jammu and Kashmir","05/04/2020",14
"166","Jammu and Kashmir","06/04/2020",3
"167","Jammu and Kashmir","07/04/2020",16
"168","Jammu and Kashmir","08/04/2020",33
"169","Jammu and Kashmir","09/03/2020",1
"170","Jammu and Kashmir","09/04/2020",26
"171","Jammu and Kashmir","10/04/2020",23
"172","Jammu and Kashmir","13/03/2020",1
"173","Jammu and Kashmir","16/03/2020",1
"174","Jammu and Kashmir","18/03/2020",1
"175","Jammu and Kashmir","24/03/2020",2
"176","Jammu and Kashmir","25/03/2020",5
"177","Jammu and Kashmir","26/03/2020",3
"178","Jammu and Kashmir","27/03/2020",6
"179","Jammu and Kashmir","28/03/2020",13
"180","Jammu and Kashmir","29/03/2020",5
"181","Jammu and Kashmir","30/03/2020",11
"182","Jammu and Kashmir","31/03/2020",6
"183","Jharkhand","02/04/2020",1
"184","Jharkhand","05/04/2020",1
"185","Jharkhand","06/04/2020",1
"186","Jharkhand","09/04/2020",9
"187","Jharkhand","10/04/2020",1
"188","Jharkhand","11/04/2020",3
"189","Jharkhand","31/03/2020",1
"190","Karnataka","01/04/2020",9
"191","Karnataka","02/04/2020",14
"192","Karnataka","03/04/2020",4
"193","Karnataka","04/04/2020",16
"194","Karnataka","05/04/2020",7
"195","Karnataka","06/04/2020",12
"196","Karnataka","07/04/2020",12
"197","Karnataka","08/04/2020",6
"198","Karnataka","09/03/2020",1
"199","Karnataka","09/04/2020",16
"200","Karnataka","10/03/2020",3
"201","Karnataka","10/04/2020",10
"202","Karnataka","11/04/2020",7
"203","Karnataka","12/03/2020",2
"204","Karnataka","16/03/2020",2
"205","Karnataka","17/03/2020",3
"206","Karnataka","18/03/2020",3
"207","Karnataka","19/03/2020",1
"208","Karnataka","21/03/2020",5
"209","Karnataka","22/03/2020",6
"210","Karnataka","23/03/2020",7
"211","Karnataka","24/03/2020",8
"212","Karnataka","25/03/2020",10
"213","Karnataka","26/03/2020",4
"214","Karnataka","27/03/2020",9
"215","Karnataka","28/03/2020",17
"216","Karnataka","29/03/2020",2
"217","Karnataka","30/03/2020",8
"218","Karnataka","31/03/2020",10
"219","Kerala","01/04/2020",24
"220","Kerala","02/02/2020",1
"221","Kerala","02/04/2020",21
"222","Kerala","03/02/2020",1
"223","Kerala","03/04/2020",9
"224","Kerala","04/04/2020",11
"225","Kerala","05/04/2020",8
"226","Kerala","06/04/2020",13
"227","Kerala","07/04/2020",9
"228","Kerala","08/03/2020",5
"229","Kerala","08/04/2020",9
"230","Kerala","09/03/2020",1
"231","Kerala","09/04/2020",12
"232","Kerala","10/03/2020",8
"233","Kerala","10/04/2020",7
"234","Kerala","12/03/2020",2
"235","Kerala","13/03/2020",3
"236","Kerala","15/03/2020",2
"237","Kerala","16/03/2020",3
"238","Kerala","19/03/2020",1
"239","Kerala","20/03/2020",12
"240","Kerala","21/03/2020",12
"241","Kerala","22/03/2020",15
"242","Kerala","23/03/2020",28
"243","Kerala","24/03/2020",14
"244","Kerala","25/03/2020",9
"245","Kerala","26/03/2020",19
"246","Kerala","27/03/2020",39
"247","Kerala","28/03/2020",6
"248","Kerala","29/03/2020",20
"249","Kerala","30/01/2020",1
"250","Kerala","30/03/2020",32
"251","Kerala","31/03/2020",7
"252","Ladakh","03/04/2020",1
"253","Ladakh","07/03/2020",2
"254","Ladakh","10/04/2020",1
"255","Ladakh","11/03/2020",1
"256","Ladakh","17/03/2020",5
"257","Ladakh","20/03/2020",2
"258","Ladakh","21/03/2020",3
"259","Madhya Pradesh","01/04/2020",32
"260","Madhya Pradesh","02/04/2020",9
"261","Madhya Pradesh","03/04/2020",47
"262","Madhya Pradesh","04/04/2020",25
"263","Madhya Pradesh","05/04/2020",14
"264","Madhya Pradesh","06/04/2020",63
"265","Madhya Pradesh","07/04/2020",34
"266","Madhya Pradesh","08/04/2020",51
"267","Madhya Pradesh","09/04/2020",70
"268","Madhya Pradesh","10/04/2020",40
"269","Madhya Pradesh","20/03/2020",4
"270","Madhya Pradesh","22/03/2020",2
"271","Madhya Pradesh","24/03/2020",1
"272","Madhya Pradesh","25/03/2020",8
"273","Madhya Pradesh","26/03/2020",5
"274","Madhya Pradesh","27/03/2020",9
"275","Madhya Pradesh","28/03/2020",10
"276","Madhya Pradesh","30/03/2020",8
"277","Madhya Pradesh","31/03/2020",19
"278","Maharashtra","01/04/2020",33
"279","Maharashtra","02/04/2020",88
"280","Maharashtra","03/04/2020",64
"281","Maharashtra","04/04/2020",148
"282","Maharashtra","05/04/2020",112
"283","Maharashtra","06/04/2020",121
"284","Maharashtra","07/04/2020",150
"285","Maharashtra","08/04/2020",117
"286","Maharashtra","09/03/2020",2
"287","Maharashtra","09/04/2020",229
"288","Maharashtra","10/03/2020",3
"289","Maharashtra","10/04/2020",210
"290","Maharashtra","11/03/2020",5
"291","Maharashtra","12/03/2020",4
"292","Maharashtra","13/03/2020",3
"293","Maharashtra","14/03/2020",14
"294","Maharashtra","15/03/2020",1
"295","Maharashtra","16/03/2020",7
"296","Maharashtra","17/03/2020",2
"297","Maharashtra","18/03/2020",4
"298","Maharashtra","19/03/2020",3
"299","Maharashtra","20/03/2020",6
"300","Maharashtra","21/03/2020",10
"301","Maharashtra","22/03/2020",10
"302","Maharashtra","23/03/2020",15
"303","Maharashtra","24/03/2020",18
"304","Maharashtra","25/03/2020",15
"305","Maharashtra","26/03/2020",3
"306","Maharashtra","27/03/2020",28
"307","Maharashtra","28/03/2020",28
"308","Maharashtra","29/03/2020",22
"309","Maharashtra","30/03/2020",17
"310","Maharashtra","31/03/2020",82
"311","Manipur","02/04/2020",1
"312","Manipur","24/03/2020",1
"313","Mizoram","25/03/2020",1
"314","Odisha","01/04/2020",1
"315","Odisha","03/04/2020",15
"316","Odisha","04/04/2020",1
"317","Odisha","05/04/2020",18
"318","Odisha","06/04/2020",1
"319","Odisha","07/04/2020",2
"320","Odisha","09/04/2020",6
"321","Odisha","10/04/2020",2
"322","Odisha","16/03/2020",1
"323","Odisha","19/03/2020",1
"324","Odisha","26/03/2020",1
"325","Odisha","31/03/2020",1
"326","Puducherry","01/04/2020",2
"327","Puducherry","02/04/2020",2
"328","Puducherry","10/04/2020",2
"329","Puducherry","17/03/2020",1
"330","Punjab","01/04/2020",4
"331","Punjab","02/04/2020",1
"332","Punjab","03/04/2020",6
"333","Punjab","04/04/2020",12
"334","Punjab","05/04/2020",3
"335","Punjab","06/04/2020",11
"336","Punjab","07/04/2020",20
"337","Punjab","08/04/2020",7
"338","Punjab","09/03/2020",1
"339","Punjab","09/04/2020",24
"340","Punjab","10/04/2020",21
"341","Punjab","19/03/2020",1
"342","Punjab","20/03/2020",1
"343","Punjab","21/03/2020",10
"344","Punjab","22/03/2020",8
"345","Punjab","23/03/2020",2
"346","Punjab","24/03/2020",6
"347","Punjab","25/03/2020",2
"348","Punjab","26/03/2020",2
"349","Punjab","27/03/2020",5
"350","Punjab","30/03/2020",3
"351","Punjab","31/03/2020",1
"352","Rajasthan","01/04/2020",27
"353","Rajasthan","02/04/2020",13
"354","Rajasthan","03/03/2020",1
"355","Rajasthan","03/04/2020",46
"356","Rajasthan","04/03/2020",1
"357","Rajasthan","04/04/2020",27
"358","Rajasthan","05/04/2020",60
"359","Rajasthan","06/04/2020",35
"360","Rajasthan","07/04/2020",42
"361","Rajasthan","08/04/2020",40
"362","Rajasthan","09/04/2020",80
"363","Rajasthan","10/03/2020",1
"364","Rajasthan","10/04/2020",98
"365","Rajasthan","11/04/2020",18
"366","Rajasthan","14/03/2020",1
"367","Rajasthan","18/03/2020",3
"368","Rajasthan","19/03/2020",2
"369","Rajasthan","20/03/2020",8
