"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","12/03/2020",1
"15","Andhra Pradesh","19/03/2020",2
"16","Andhra Pradesh","21/03/2020",2
"17","Andhra Pradesh","22/03/2020",1
"18","Andhra Pradesh","23/03/2020",1
"19","Andhra Pradesh","24/03/2020",1
"20","Andhra Pradesh","25/03/2020",2
"21","Andhra Pradesh","26/03/2020",1
"22","Andhra Pradesh","27/03/2020",2
"23","Andhra Pradesh","28/03/2020",6
"24","Andhra Pradesh","29/03/2020",2
"25","Andhra Pradesh","30/03/2020",2
"26","Andhra Pradesh","31/03/2020",21
"27","Arunachal Pradesh","02/04/2020",1
"28","Assam","01/04/2020",15
"29","Assam","03/04/2020",7
"30","Assam","04/04/2020",3
"31","Assam","07/04/2020",2
"32","Assam","31/03/2020",1
"33","Bihar","01/04/2020",3
"34","Bihar","02/04/2020",5
"35","Bihar","03/04/2020",2
"36","Bihar","04/04/2020",1
"37","Bihar","07/04/2020",6
"38","Bihar","08/04/2020",1
"39","Bihar","09/04/2020",4
"40","Bihar","22/03/2020",2
"41","Bihar","23/03/2020",1
"42","Bihar","25/03/2020",1
"43","Bihar","26/03/2020",3
"44","Bihar","27/03/2020",2
"45","Bihar","28/03/2020",2
"46","Bihar","29/03/2020",4
"47","Bihar","31/03/2020",6
"48","Chandigarh","01/04/2020",2
"49","Chandigarh","02/04/2020",1
"50","Chandigarh","19/03/2020",1
"51","Chandigarh","20/03/2020",4
"52","Chandigarh","22/03/2020",1
"53","Chandigarh","23/03/2020",1
"54","Chandigarh","27/03/2020",1
"55","Chandigarh","30/03/2020",5
"56","Chandigarh","31/03/2020",2
"57","Chhattisgarh","04/04/2020",1
"58","Chhattisgarh","09/04/2020",1
"59","Chhattisgarh","19/03/2020",1
"60","Chhattisgarh","25/03/2020",2
"61","Chhattisgarh","26/03/2020",3
"62","Chhattisgarh","28/03/2020",1
"63","Chhattisgarh","30/03/2020",1
"64","Chhattisgarh","31/03/2020",1
"65","Dadra and Nagar Haveli","06/04/2020",1
"66","Delhi","01/04/2020",32
"67","Delhi","02/03/2020",1
"68","Delhi","02/04/2020",141
"69","Delhi","03/04/2020",93
"70","Delhi","04/04/2020",59
"71","Delhi","05/03/2020",1
"72","Delhi","05/04/2020",58
"73","Delhi","06/03/2020",1
"74","Delhi","06/04/2020",22
"75","Delhi","07/04/2020",51
"76","Delhi","08/04/2020",93
"77","Delhi","09/03/2020",1
"78","Delhi","11/03/2020",1
"79","Delhi","12/03/2020",1
"80","Delhi","13/03/2020",1
"81","Delhi","17/03/2020",3
"82","Delhi","18/03/2020",1
"83","Delhi","19/03/2020",3
"84","Delhi","20/03/2020",6
"85","Delhi","21/03/2020",7
"86","Delhi","22/03/2020",1
"87","Delhi","23/03/2020",2
"88","Delhi","25/03/2020",5
"89","Delhi","26/03/2020",4
"90","Delhi","27/03/2020",1
"91","Delhi","28/03/2020",9
"92","Delhi","29/03/2020",23
"93","Delhi","30/03/2020",25
"94","Delhi","31/03/2020",23
"95","Goa","03/04/2020",1
"96","Goa","04/04/2020",1
"97","Goa","25/03/2020",3
"98","Goa","29/03/2020",2
"99","Gujarat","01/04/2020",13
"100","Gujarat","02/04/2020",1
"101","Gujarat","03/04/2020",7
"102","Gujarat","04/04/2020",13
"103","Gujarat","05/04/2020",20
"104","Gujarat","06/04/2020",18
"105","Gujarat","07/04/2020",29
"106","Gujarat","08/04/2020",11
"107","Gujarat","19/03/2020",2
"108","Gujarat","20/03/2020",5
"109","Gujarat","21/03/2020",7
"110","Gujarat","22/03/2020",4
"111","Gujarat","23/03/2020",12
"112","Gujarat","24/03/2020",6
"113","Gujarat","25/03/2020",2
"114","Gujarat","26/03/2020",6
"115","Gujarat","27/03/2020",3
"116","Gujarat","28/03/2020",8
"117","Gujarat","29/03/2020",8
"118","Gujarat","30/03/2020",7
"119","Gujarat","31/03/2020",4
"120","Haryana","02/04/2020",6
"121","Haryana","03/04/2020",9
"122","Haryana","04/03/2020",14
"123","Haryana","04/04/2020",26
"124","Haryana","05/04/2020",6
"125","Haryana","06/04/2020",20
"126","Haryana","07/04/2020",33
"127","Haryana","08/04/2020",24
"128","Haryana","17/03/2020",1
"129","Haryana","18/03/2020",2
"130","Haryana","20/03/2020",2
"131","Haryana","21/03/2020",2
"132","Haryana","23/03/2020",7
"133","Haryana","24/03/2020",2
"134","Haryana","25/03/2020",1
"135","Haryana","26/03/2020",1
"136","Haryana","27/03/2020",1
"137","Haryana","28/03/2020",2
"138","Haryana","30/03/2020",1
"139","Haryana","31/03/2020",7
"140","Himachal Pradesh","02/04/2020",3
"141","Himachal Pradesh","04/04/2020",7
"142","Himachal Pradesh","05/04/2020",1
"143","Himachal Pradesh","06/04/2020",4
"144","Himachal Pradesh","07/04/2020",9
"145","Himachal Pradesh","09/04/2020",1
"146","Himachal Pradesh","20/03/2020",2
"147","Himachal Pradesh","23/03/2020",1
"148","Jammu and Kashmir","01/04/2020",7
"149","Jammu and Kashmir","02/04/2020",8
"150","Jammu and Kashmir","03/04/2020",5
"151","Jammu and Kashmir","04/04/2020",17
"152","Jammu and Kashmir","05/04/2020",14
"153","Jammu and Kashmir","06/04/2020",3
"154","Jammu and Kashmir","07/04/2020",16
"155","Jammu and Kashmir","08/04/2020",33
"156","Jammu and Kashmir","09/03/2020",1
"157","Jammu and Kashmir","13/03/2020",1
"158","Jammu and Kashmir","16/03/2020",1
"159","Jammu and Kashmir","18/03/2020",1
"160","Jammu and Kashmir","24/03/2020",2
"161","Jammu and Kashmir","25/03/2020",5
"162","Jammu and Kashmir","26/03/2020",3
"163","Jammu and Kashmir","27/03/2020",6
"164","Jammu and Kashmir","28/03/2020",13
"165","Jammu and Kashmir","29/03/2020",5
"166","Jammu and Kashmir","30/03/2020",11
"167","Jammu and Kashmir","31/03/2020",6
"168","Jharkhand","02/04/2020",1
"169","Jharkhand","05/04/2020",1
"170","Jharkhand","06/04/2020",1
"171","Jharkhand","09/04/2020",9
"172","Jharkhand","31/03/2020",1
"173","Karnataka","01/04/2020",9
"174","Karnataka","02/04/2020",14
"175","Karnataka","03/04/2020",4
"176","Karnataka","04/04/2020",16
"177","Karnataka","05/04/2020",7
"178","Karnataka","06/04/2020",12
"179","Karnataka","07/04/2020",12
"180","Karnataka","08/04/2020",6
"181","Karnataka","09/03/2020",1
"182","Karnataka","10/03/2020",3
"183","Karnataka","12/03/2020",2
"184","Karnataka","16/03/2020",2
"185","Karnataka","17/03/2020",3
"186","Karnataka","18/03/2020",3
"187","Karnataka","19/03/2020",1
"188","Karnataka","21/03/2020",5
"189","Karnataka","22/03/2020",6
"190","Karnataka","23/03/2020",7
"191","Karnataka","24/03/2020",8
"192","Karnataka","25/03/2020",10
"193","Karnataka","26/03/2020",4
"194","Karnataka","27/03/2020",9
"195","Karnataka","28/03/2020",17
"196","Karnataka","29/03/2020",2
"197","Karnataka","30/03/2020",8
"198","Karnataka","31/03/2020",10
"199","Kerala","01/04/2020",24
"200","Kerala","02/02/2020",1
"201","Kerala","02/04/2020",21
"202","Kerala","03/02/2020",1
"203","Kerala","03/04/2020",9
"204","Kerala","04/04/2020",11
"205","Kerala","05/04/2020",8
"206","Kerala","06/04/2020",13
"207","Kerala","07/04/2020",9
"208","Kerala","08/03/2020",5
"209","Kerala","08/04/2020",9
"210","Kerala","09/03/2020",1
"211","Kerala","10/03/2020",8
"212","Kerala","12/03/2020",2
"213","Kerala","13/03/2020",3
"214","Kerala","15/03/2020",2
"215","Kerala","16/03/2020",3
"216","Kerala","19/03/2020",1
"217","Kerala","20/03/2020",12
"218","Kerala","21/03/2020",12
"219","Kerala","22/03/2020",15
"220","Kerala","23/03/2020",28
"221","Kerala","24/03/2020",14
"222","Kerala","25/03/2020",9
"223","Kerala","26/03/2020",19
"224","Kerala","27/03/2020",39
"225","Kerala","28/03/2020",6
"226","Kerala","29/03/2020",20
"227","Kerala","30/01/2020",1
"228","Kerala","30/03/2020",32
"229","Kerala","31/03/2020",7
"230","Ladakh","03/04/2020",1
"231","Ladakh","07/03/2020",2
"232","Ladakh","11/03/2020",1
"233","Ladakh","17/03/2020",5
"234","Ladakh","20/03/2020",2
"235","Ladakh","21/03/2020",3
"236","Madhya Pradesh","01/04/2020",32
"237","Madhya Pradesh","02/04/2020",9
"238","Madhya Pradesh","03/04/2020",47
"239","Madhya Pradesh","04/04/2020",25
"240","Madhya Pradesh","05/04/2020",14
"241","Madhya Pradesh","06/04/2020",63
"242","Madhya Pradesh","07/04/2020",34
"243","Madhya Pradesh","08/04/2020",51
"244","Madhya Pradesh","09/04/2020",6
"245","Madhya Pradesh","20/03/2020",4
"246","Madhya Pradesh","22/03/2020",2
"247","Madhya Pradesh","24/03/2020",1
"248","Madhya Pradesh","25/03/2020",8
"249","Madhya Pradesh","26/03/2020",5
"250","Madhya Pradesh","27/03/2020",9
"251","Madhya Pradesh","28/03/2020",10
"252","Madhya Pradesh","30/03/2020",8
"253","Madhya Pradesh","31/03/2020",19
"254","Maharashtra","01/04/2020",33
"255","Maharashtra","02/04/2020",88
"256","Maharashtra","03/04/2020",64
"257","Maharashtra","04/04/2020",148
"258","Maharashtra","05/04/2020",112
"259","Maharashtra","06/04/2020",121
"260","Maharashtra","07/04/2020",150
"261","Maharashtra","08/04/2020",117
"262","Maharashtra","09/03/2020",2
"263","Maharashtra","10/03/2020",3
"264","Maharashtra","11/03/2020",5
"265","Maharashtra","12/03/2020",4
"266","Maharashtra","13/03/2020",3
"267","Maharashtra","14/03/2020",14
"268","Maharashtra","15/03/2020",1
"269","Maharashtra","16/03/2020",7
"270","Maharashtra","17/03/2020",2
"271","Maharashtra","18/03/2020",4
"272","Maharashtra","19/03/2020",3
"273","Maharashtra","20/03/2020",6
"274","Maharashtra","21/03/2020",10
"275","Maharashtra","22/03/2020",10
"276","Maharashtra","23/03/2020",15
"277","Maharashtra","24/03/2020",18
"278","Maharashtra","25/03/2020",15
"279","Maharashtra","26/03/2020",3
"280","Maharashtra","27/03/2020",28
"281","Maharashtra","28/03/2020",28
"282","Maharashtra","29/03/2020",22
"283","Maharashtra","30/03/2020",17
"284","Maharashtra","31/03/2020",82
"285","Manipur","02/04/2020",1
"286","Manipur","24/03/2020",1
"287","Mizoram","25/03/2020",1
"288","Odisha","01/04/2020",1
"289","Odisha","03/04/2020",15
"290","Odisha","04/04/2020",1
"291","Odisha","05/04/2020",18
"292","Odisha","06/04/2020",1
"293","Odisha","07/04/2020",2
"294","Odisha","16/03/2020",1
"295","Odisha","19/03/2020",1
"296","Odisha","26/03/2020",1
"297","Odisha","31/03/2020",1
"298","Puducherry","01/04/2020",2
"299","Puducherry","02/04/2020",2
"300","Puducherry","17/03/2020",1
"301","Punjab","01/04/2020",4
"302","Punjab","02/04/2020",1
"303","Punjab","03/04/2020",6
"304","Punjab","04/04/2020",12
"305","Punjab","05/04/2020",3
"306","Punjab","06/04/2020",11
"307","Punjab","07/04/2020",20
"308","Punjab","08/04/2020",7
"309","Punjab","09/03/2020",1
"310","Punjab","09/04/2020",8
"311","Punjab","19/03/2020",1
"312","Punjab","20/03/2020",1
"313","Punjab","21/03/2020",10
"314","Punjab","22/03/2020",8
"315","Punjab","23/03/2020",2
"316","Punjab","24/03/2020",6
"317","Punjab","25/03/2020",2
"318","Punjab","26/03/2020",2
"319","Punjab","27/03/2020",5
"320","Punjab","30/03/2020",3
"321","Punjab","31/03/2020",1
"322","Rajasthan","01/04/2020",27
"323","Rajasthan","02/04/2020",13
"324","Rajasthan","03/03/2020",1
"325","Rajasthan","03/04/2020",46
"326","Rajasthan","04/03/2020",1
"327","Rajasthan","04/04/2020",27
"328","Rajasthan","05/04/2020",60
"329","Rajasthan","06/04/2020",35
"330","Rajasthan","07/04/2020",42
"331","Rajasthan","08/04/2020",40
"332","Rajasthan","09/04/2020",30
"333","Rajasthan","10/03/2020",1
"334","Rajasthan","14/03/2020",1
"335","Rajasthan","18/03/2020",3
"336","Rajasthan","19/03/2020",2
"337","Rajasthan","20/03/2020",8
"338","Rajasthan","21/03/2020",7
"339","Rajasthan","22/03/2020",5
"340","Rajasthan","23/03/2020",3
"341","Rajasthan","25/03/2020",6
"342","Rajasthan","26/03/2020",5
"343","Rajasthan","27/03/2020",7
"344","Rajasthan","28/03/2020",4
"345","Rajasthan","29/03/2020",5
"346","Rajasthan","30/03/2020",20
"347","Rajasthan","31/03/2020",14
"348","Tamil Nadu","01/04/2020",110
"349","Tamil Nadu","02/04/2020",75
"350","Tamil Nadu","03/04/2020",102
"351","Tamil Nadu","04/04/2020",74
"352","Tamil Nadu","05/04/2020",86
"353","Tamil Nadu","06/04/2020",50
"354","Tamil Nadu","07/03/2020",1
"355","Tamil Nadu","07/04/2020",69
"356","Tamil Nadu","08/04/2020",48
"357","Tamil Nadu","18/03/2020",1
"358","Tamil Nadu","19/03/2020",1
"359","Tamil Nadu","21/03/2020",3
"360","Tamil Nadu","22/03/2020",3
"361","Tamil Nadu","23/03/2020",3
"362","Tamil Nadu","24/03/2020",6
"363","Tamil Nadu","25/03/2020",8
"364","Tamil Nadu","26/03/2020",3
"365","Tamil Nadu","27/03/2020",9
"366","Tamil Nadu","28/03/2020",4
