"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","02/04/2020",38
"7","Andhra Pradesh","03/04/2020",15
"8","Andhra Pradesh","04/04/2020",28
"9","Andhra Pradesh","05/04/2020",34
"10","Andhra Pradesh","12/03/2020",1
"11","Andhra Pradesh","19/03/2020",2
"12","Andhra Pradesh","21/03/2020",2
"13","Andhra Pradesh","22/03/2020",1
"14","Andhra Pradesh","23/03/2020",1
"15","Andhra Pradesh","24/03/2020",1
"16","Andhra Pradesh","25/03/2020",2
"17","Andhra Pradesh","26/03/2020",1
"18","Andhra Pradesh","27/03/2020",2
"19","Andhra Pradesh","28/03/2020",6
"20","Andhra Pradesh","29/03/2020",2
"21","Andhra Pradesh","30/03/2020",2
"22","Andhra Pradesh","31/03/2020",21
"23","Arunachal Pradesh","02/04/2020",1
"24","Assam","01/04/2020",15
"25","Assam","03/04/2020",7
"26","Assam","04/04/2020",3
"27","Assam","31/03/2020",1
"28","Bihar","01/04/2020",3
"29","Bihar","02/04/2020",5
"30","Bihar","03/04/2020",2
"31","Bihar","04/04/2020",1
"32","Bihar","22/03/2020",2
"33","Bihar","23/03/2020",1
"34","Bihar","25/03/2020",1
"35","Bihar","26/03/2020",3
"36","Bihar","27/03/2020",2
"37","Bihar","28/03/2020",2
"38","Bihar","29/03/2020",4
"39","Bihar","31/03/2020",6
"40","Chandigarh","01/04/2020",2
"41","Chandigarh","02/04/2020",1
"42","Chandigarh","19/03/2020",1
"43","Chandigarh","20/03/2020",4
"44","Chandigarh","22/03/2020",1
"45","Chandigarh","23/03/2020",1
"46","Chandigarh","27/03/2020",1
"47","Chandigarh","30/03/2020",5
"48","Chandigarh","31/03/2020",2
"49","Chhattisgarh","04/04/2020",1
"50","Chhattisgarh","19/03/2020",1
"51","Chhattisgarh","25/03/2020",2
"52","Chhattisgarh","26/03/2020",3
"53","Chhattisgarh","28/03/2020",1
"54","Chhattisgarh","30/03/2020",1
"55","Chhattisgarh","31/03/2020",1
"56","Delhi","01/04/2020",32
"57","Delhi","02/03/2020",1
"58","Delhi","02/04/2020",141
"59","Delhi","03/04/2020",93
"60","Delhi","04/04/2020",59
"61","Delhi","05/03/2020",1
"62","Delhi","06/03/2020",1
"63","Delhi","09/03/2020",1
"64","Delhi","11/03/2020",1
"65","Delhi","12/03/2020",1
"66","Delhi","13/03/2020",1
"67","Delhi","17/03/2020",3
"68","Delhi","18/03/2020",1
"69","Delhi","19/03/2020",3
"70","Delhi","20/03/2020",6
"71","Delhi","21/03/2020",7
"72","Delhi","22/03/2020",1
"73","Delhi","23/03/2020",2
"74","Delhi","25/03/2020",5
"75","Delhi","26/03/2020",4
"76","Delhi","27/03/2020",1
"77","Delhi","28/03/2020",9
"78","Delhi","29/03/2020",23
"79","Delhi","30/03/2020",25
"80","Delhi","31/03/2020",23
"81","Goa","03/04/2020",1
"82","Goa","04/04/2020",1
"83","Goa","25/03/2020",3
"84","Goa","29/03/2020",2
"85","Gujarat","01/04/2020",13
"86","Gujarat","02/04/2020",1
"87","Gujarat","03/04/2020",7
"88","Gujarat","04/04/2020",13
"89","Gujarat","05/04/2020",14
"90","Gujarat","19/03/2020",2
"91","Gujarat","20/03/2020",5
"92","Gujarat","21/03/2020",7
"93","Gujarat","22/03/2020",4
"94","Gujarat","23/03/2020",12
"95","Gujarat","24/03/2020",6
"96","Gujarat","25/03/2020",2
"97","Gujarat","26/03/2020",6
"98","Gujarat","27/03/2020",3
"99","Gujarat","28/03/2020",8
"100","Gujarat","29/03/2020",8
"101","Gujarat","30/03/2020",7
"102","Gujarat","31/03/2020",4
"103","Haryana","02/04/2020",6
