"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","02/04/2020",21
"7","Andhra Pradesh","12/03/2020",1
"8","Andhra Pradesh","19/03/2020",2
"9","Andhra Pradesh","21/03/2020",2
"10","Andhra Pradesh","22/03/2020",1
"11","Andhra Pradesh","23/03/2020",1
"12","Andhra Pradesh","24/03/2020",1
"13","Andhra Pradesh","25/03/2020",2
"14","Andhra Pradesh","26/03/2020",1
"15","Andhra Pradesh","27/03/2020",2
"16","Andhra Pradesh","28/03/2020",6
"17","Andhra Pradesh","29/03/2020",2
"18","Andhra Pradesh","30/03/2020",2
"19","Andhra Pradesh","31/03/2020",21
"20","Arunachal Pradesh","02/04/2020",1
"21","Assam","01/04/2020",15
"22","Assam","31/03/2020",1
"23","Bihar","01/04/2020",3
"24","Bihar","22/03/2020",2
"25","Bihar","23/03/2020",1
"26","Bihar","25/03/2020",1
"27","Bihar","26/03/2020",3
"28","Bihar","27/03/2020",2
"29","Bihar","28/03/2020",2
"30","Bihar","29/03/2020",4
"31","Bihar","31/03/2020",6
"32","Chandigarh","01/04/2020",2
"33","Chandigarh","19/03/2020",1
"34","Chandigarh","20/03/2020",4
"35","Chandigarh","22/03/2020",1
"36","Chandigarh","23/03/2020",1
"37","Chandigarh","27/03/2020",1
"38","Chandigarh","30/03/2020",5
"39","Chandigarh","31/03/2020",2
"40","Chhattisgarh","19/03/2020",1
"41","Chhattisgarh","25/03/2020",2
"42","Chhattisgarh","26/03/2020",3
"43","Chhattisgarh","28/03/2020",1
"44","Chhattisgarh","30/03/2020",1
"45","Chhattisgarh","31/03/2020",1
"46","Delhi","01/04/2020",32
"47","Delhi","02/03/2020",1
"48","Delhi","05/03/2020",1
"49","Delhi","06/03/2020",1
"50","Delhi","09/03/2020",1
"51","Delhi","11/03/2020",1
"52","Delhi","12/03/2020",1
"53","Delhi","13/03/2020",1
"54","Delhi","17/03/2020",3
"55","Delhi","18/03/2020",1
"56","Delhi","19/03/2020",3
"57","Delhi","20/03/2020",6
"58","Delhi","21/03/2020",7
"59","Delhi","22/03/2020",1
"60","Delhi","23/03/2020",2
"61","Delhi","25/03/2020",5
"62","Delhi","26/03/2020",4
"63","Delhi","27/03/2020",1
"64","Delhi","28/03/2020",9
"65","Delhi","29/03/2020",23
"66","Delhi","30/03/2020",25
"67","Delhi","31/03/2020",23
"68","Goa","25/03/2020",3
"69","Goa","29/03/2020",2
"70","Gujarat","01/04/2020",13
"71","Gujarat","19/03/2020",2
"72","Gujarat","20/03/2020",5
"73","Gujarat","21/03/2020",7
"74","Gujarat","22/03/2020",4
"75","Gujarat","23/03/2020",12
"76","Gujarat","24/03/2020",6
"77","Gujarat","25/03/2020",2
"78","Gujarat","26/03/2020",6
"79","Gujarat","27/03/2020",3
"80","Gujarat","28/03/2020",8
"81","Gujarat","29/03/2020",8
"82","Gujarat","30/03/2020",7
"83","Gujarat","31/03/2020",4
"84","Haryana","02/04/2020",4
"85","Haryana","04/03/2020",14
"86","Haryana","17/03/2020",1
"87","Haryana","18/03/2020",2
"88","Haryana","20/03/2020",2
"89","Haryana","21/03/2020",2
"90","Haryana","23/03/2020",7
"91","Haryana","24/03/2020",2
"92","Haryana","25/03/2020",1
"93","Haryana","26/03/2020",1
"94","Haryana","27/03/2020",1
"95","Haryana","28/03/2020",2
"96","Haryana","30/03/2020",1
"97","Haryana","31/03/2020",7
"98","Himachal Pradesh","20/03/2020",2
"99","Himachal Pradesh","23/03/2020",1
"100","Jammu and Kashmir","01/04/2020",7
"101","Jammu and Kashmir","09/03/2020",1
"102","Jammu and Kashmir","13/03/2020",1
