"","detectedstate","dateannounced","numberofcases"
"1","","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","12/03/2020",1
"14","Andhra Pradesh","19/03/2020",2
"15","Andhra Pradesh","21/03/2020",2
"16","Andhra Pradesh","22/03/2020",1
"17","Andhra Pradesh","23/03/2020",1
"18","Andhra Pradesh","24/03/2020",1
"19","Andhra Pradesh","25/03/2020",2
"20","Andhra Pradesh","26/03/2020",1
"21","Andhra Pradesh","27/03/2020",2
"22","Andhra Pradesh","28/03/2020",6
"23","Andhra Pradesh","29/03/2020",2
"24","Andhra Pradesh","30/03/2020",2
"25","Andhra Pradesh","31/03/2020",21
"26","Arunachal Pradesh","02/04/2020",1
"27","Assam","01/04/2020",15
"28","Assam","03/04/2020",7
"29","Assam","04/04/2020",3
"30","Assam","07/04/2020",2
"31","Assam","31/03/2020",1
"32","Bihar","01/04/2020",3
"33","Bihar","02/04/2020",5
"34","Bihar","03/04/2020",2
"35","Bihar","04/04/2020",1
"36","Bihar","07/04/2020",6
"37","Bihar","22/03/2020",2
"38","Bihar","23/03/2020",1
"39","Bihar","25/03/2020",1
"40","Bihar","26/03/2020",3
"41","Bihar","27/03/2020",2
"42","Bihar","28/03/2020",2
"43","Bihar","29/03/2020",4
"44","Bihar","31/03/2020",6
"45","Chandigarh","01/04/2020",2
"46","Chandigarh","02/04/2020",1
"47","Chandigarh","19/03/2020",1
"48","Chandigarh","20/03/2020",4
"49","Chandigarh","22/03/2020",1
"50","Chandigarh","23/03/2020",1
"51","Chandigarh","27/03/2020",1
"52","Chandigarh","30/03/2020",5
"53","Chandigarh","31/03/2020",2
"54","Chhattisgarh","04/04/2020",1
"55","Chhattisgarh","19/03/2020",1
"56","Chhattisgarh","25/03/2020",2
"57","Chhattisgarh","26/03/2020",3
"58","Chhattisgarh","28/03/2020",1
"59","Chhattisgarh","30/03/2020",1
"60","Chhattisgarh","31/03/2020",1
"61","Dadra and Nagar Haveli","06/04/2020",1
"62","Delhi","01/04/2020",32
"63","Delhi","02/03/2020",1
"64","Delhi","02/04/2020",141
"65","Delhi","03/04/2020",93
"66","Delhi","04/04/2020",59
"67","Delhi","05/03/2020",1
"68","Delhi","05/04/2020",58
"69","Delhi","06/03/2020",1
"70","Delhi","06/04/2020",22
"71","Delhi","07/04/2020",51
"72","Delhi","09/03/2020",1
"73","Delhi","11/03/2020",1
"74","Delhi","12/03/2020",1
"75","Delhi","13/03/2020",1
"76","Delhi","17/03/2020",3
"77","Delhi","18/03/2020",1
"78","Delhi","19/03/2020",3
"79","Delhi","20/03/2020",6
"80","Delhi","21/03/2020",7
"81","Delhi","22/03/2020",1
"82","Delhi","23/03/2020",2
"83","Delhi","25/03/2020",5
"84","Delhi","26/03/2020",4
"85","Delhi","27/03/2020",1
"86","Delhi","28/03/2020",9
"87","Delhi","29/03/2020",23
"88","Delhi","30/03/2020",25
"89","Delhi","31/03/2020",23
"90","Goa","03/04/2020",1
"91","Goa","04/04/2020",1
"92","Goa","25/03/2020",3
"93","Goa","29/03/2020",2
"94","Gujarat","01/04/2020",13
"95","Gujarat","02/04/2020",1
"96","Gujarat","03/04/2020",7
"97","Gujarat","04/04/2020",13
"98","Gujarat","05/04/2020",20
"99","Gujarat","06/04/2020",18
"100","Gujarat","07/04/2020",29
"101","Gujarat","08/04/2020",4
"102","Gujarat","19/03/2020",2
"103","Gujarat","20/03/2020",5
"104","Gujarat","21/03/2020",7
"105","Gujarat","22/03/2020",4
"106","Gujarat","23/03/2020",12
"107","Gujarat","24/03/2020",6
"108","Gujarat","25/03/2020",2
"109","Gujarat","26/03/2020",6
"110","Gujarat","27/03/2020",3
"111","Gujarat","28/03/2020",8
"112","Gujarat","29/03/2020",8
"113","Gujarat","30/03/2020",7
"114","Gujarat","31/03/2020",4
"115","Haryana","02/04/2020",6
"116","Haryana","03/04/2020",9
"117","Haryana","04/03/2020",14
"118","Haryana","04/04/2020",26
"119","Haryana","05/04/2020",6
"120","Haryana","06/04/2020",20
"121","Haryana","07/04/2020",33
"122","Haryana","17/03/2020",1
"123","Haryana","18/03/2020",2
"124","Haryana","20/03/2020",2
"125","Haryana","21/03/2020",2
"126","Haryana","23/03/2020",7
"127","Haryana","24/03/2020",2
"128","Haryana","25/03/2020",1
"129","Haryana","26/03/2020",1
"130","Haryana","27/03/2020",1
"131","Haryana","28/03/2020",2
"132","Haryana","30/03/2020",1
"133","Haryana","31/03/2020",7
"134","Himachal Pradesh","02/04/2020",3
"135","Himachal Pradesh","04/04/2020",7
"136","Himachal Pradesh","05/04/2020",1
"137","Himachal Pradesh","06/04/2020",4
"138","Himachal Pradesh","07/04/2020",9
"139","Himachal Pradesh","20/03/2020",2
"140","Himachal Pradesh","23/03/2020",1
"141","Jammu and Kashmir","01/04/2020",7
"142","Jammu and Kashmir","02/04/2020",8
"143","Jammu and Kashmir","03/04/2020",5
"144","Jammu and Kashmir","04/04/2020",17
"145","Jammu and Kashmir","05/04/2020",14
"146","Jammu and Kashmir","06/04/2020",3
"147","Jammu and Kashmir","07/04/2020",16
"148","Jammu and Kashmir","09/03/2020",1
"149","Jammu and Kashmir","13/03/2020",1
"150","Jammu and Kashmir","16/03/2020",1
"151","Jammu and Kashmir","18/03/2020",1
"152","Jammu and Kashmir","24/03/2020",2
"153","Jammu and Kashmir","25/03/2020",5
"154","Jammu and Kashmir","26/03/2020",3
"155","Jammu and Kashmir","27/03/2020",6
"156","Jammu and Kashmir","28/03/2020",13
"157","Jammu and Kashmir","29/03/2020",5
"158","Jammu and Kashmir","30/03/2020",11
"159","Jammu and Kashmir","31/03/2020",6
"160","Jharkhand","02/04/2020",1
"161","Jharkhand","05/04/2020",1
"162","Jharkhand","06/04/2020",1
"163","Jharkhand","31/03/2020",1
"164","Karnataka","01/04/2020",9
"165","Karnataka","02/04/2020",14
"166","Karnataka","03/04/2020",4
"167","Karnataka","04/04/2020",16
"168","Karnataka","05/04/2020",7
"169","Karnataka","06/04/2020",12
"170","Karnataka","07/04/2020",12
"171","Karnataka","09/03/2020",1
"172","Karnataka","10/03/2020",3
"173","Karnataka","12/03/2020",2
"174","Karnataka","16/03/2020",2
"175","Karnataka","17/03/2020",3
"176","Karnataka","18/03/2020",3
"177","Karnataka","19/03/2020",1
"178","Karnataka","21/03/2020",5
"179","Karnataka","22/03/2020",6
"180","Karnataka","23/03/2020",7
"181","Karnataka","24/03/2020",8
"182","Karnataka","25/03/2020",10
"183","Karnataka","26/03/2020",4
"184","Karnataka","27/03/2020",9
"185","Karnataka","28/03/2020",17
"186","Karnataka","29/03/2020",2
"187","Karnataka","30/03/2020",8
"188","Karnataka","31/03/2020",10
"189","Kerala","01/04/2020",24
"190","Kerala","02/02/2020",1
"191","Kerala","02/04/2020",21
"192","Kerala","03/02/2020",1
"193","Kerala","03/04/2020",9
"194","Kerala","04/04/2020",11
"195","Kerala","05/04/2020",8
"196","Kerala","06/04/2020",13
"197","Kerala","07/04/2020",9
"198","Kerala","08/03/2020",5
"199","Kerala","09/03/2020",1
"200","Kerala","10/03/2020",8
"201","Kerala","12/03/2020",2
"202","Kerala","13/03/2020",3
"203","Kerala","15/03/2020",2
"204","Kerala","16/03/2020",3
"205","Kerala","19/03/2020",1
"206","Kerala","20/03/2020",12
"207","Kerala","21/03/2020",12
"208","Kerala","22/03/2020",15
"209","Kerala","23/03/2020",28
"210","Kerala","24/03/2020",14
"211","Kerala","25/03/2020",9
"212","Kerala","26/03/2020",19
"213","Kerala","27/03/2020",39
"214","Kerala","28/03/2020",6
"215","Kerala","29/03/2020",20
"216","Kerala","30/01/2020",1
"217","Kerala","30/03/2020",32
"218","Kerala","31/03/2020",7
"219","Ladakh","03/04/2020",1
"220","Ladakh","07/03/2020",2
"221","Ladakh","11/03/2020",1
"222","Ladakh","17/03/2020",5
"223","Ladakh","20/03/2020",2
"224","Ladakh","21/03/2020",3
"225","Madhya Pradesh","01/04/2020",32
"226","Madhya Pradesh","02/04/2020",9
"227","Madhya Pradesh","03/04/2020",47
"228","Madhya Pradesh","04/04/2020",25
"229","Madhya Pradesh","05/04/2020",14
"230","Madhya Pradesh","06/04/2020",63
"231","Madhya Pradesh","07/04/2020",34
"232","Madhya Pradesh","20/03/2020",4
"233","Madhya Pradesh","22/03/2020",2
"234","Madhya Pradesh","24/03/2020",1
"235","Madhya Pradesh","25/03/2020",8
"236","Madhya Pradesh","26/03/2020",5
"237","Madhya Pradesh","27/03/2020",9
"238","Madhya Pradesh","28/03/2020",10
"239","Madhya Pradesh","30/03/2020",8
"240","Madhya Pradesh","31/03/2020",19
"241","Maharashtra","01/04/2020",33
"242","Maharashtra","02/04/2020",88
"243","Maharashtra","03/04/2020",64
"244","Maharashtra","04/04/2020",148
"245","Maharashtra","05/04/2020",112
"246","Maharashtra","06/04/2020",121
"247","Maharashtra","07/04/2020",150
"248","Maharashtra","09/03/2020",2
"249","Maharashtra","10/03/2020",3
"250","Maharashtra","11/03/2020",5
"251","Maharashtra","12/03/2020",4
"252","Maharashtra","13/03/2020",3
"253","Maharashtra","14/03/2020",14
"254","Maharashtra","15/03/2020",1
"255","Maharashtra","16/03/2020",7
"256","Maharashtra","17/03/2020",2
"257","Maharashtra","18/03/2020",4
"258","Maharashtra","19/03/2020",3
"259","Maharashtra","20/03/2020",6
"260","Maharashtra","21/03/2020",10
"261","Maharashtra","22/03/2020",10
"262","Maharashtra","23/03/2020",15
"263","Maharashtra","24/03/2020",18
"264","Maharashtra","25/03/2020",15
"265","Maharashtra","26/03/2020",3
"266","Maharashtra","27/03/2020",28
"267","Maharashtra","28/03/2020",28
"268","Maharashtra","29/03/2020",22
"269","Maharashtra","30/03/2020",17
"270","Maharashtra","31/03/2020",82
"271","Manipur","02/04/2020",1
"272","Manipur","24/03/2020",1
"273","Mizoram","25/03/2020",1
"274","Odisha","01/04/2020",1
"275","Odisha","03/04/2020",15
"276","Odisha","04/04/2020",1
"277","Odisha","05/04/2020",18
"278","Odisha","06/04/2020",1
"279","Odisha","07/04/2020",2
"280","Odisha","16/03/2020",1
"281","Odisha","19/03/2020",1
"282","Odisha","26/03/2020",1
"283","Odisha","31/03/2020",1
"284","Puducherry","01/04/2020",2
"285","Puducherry","02/04/2020",2
"286","Puducherry","17/03/2020",1
"287","Punjab","01/04/2020",4
"288","Punjab","02/04/2020",1
"289","Punjab","03/04/2020",6
"290","Punjab","04/04/2020",12
"291","Punjab","05/04/2020",3
"292","Punjab","06/04/2020",11
"293","Punjab","07/04/2020",20
"294","Punjab","09/03/2020",1
"295","Punjab","19/03/2020",1
"296","Punjab","20/03/2020",1
"297","Punjab","21/03/2020",10
"298","Punjab","22/03/2020",8
"299","Punjab","23/03/2020",2
"300","Punjab","24/03/2020",6
"301","Punjab","25/03/2020",2
"302","Punjab","26/03/2020",2
"303","Punjab","27/03/2020",5
"304","Punjab","30/03/2020",3
"305","Punjab","31/03/2020",1
"306","Rajasthan","01/04/2020",27
"307","Rajasthan","02/04/2020",13
"308","Rajasthan","03/03/2020",1
"309","Rajasthan","03/04/2020",46
"310","Rajasthan","04/03/2020",1
"311","Rajasthan","04/04/2020",27
"312","Rajasthan","05/04/2020",60
"313","Rajasthan","06/04/2020",35
"314","Rajasthan","07/04/2020",42
"315","Rajasthan","08/04/2020",5
"316","Rajasthan","10/03/2020",1
"317","Rajasthan","14/03/2020",1
"318","Rajasthan","18/03/2020",3
"319","Rajasthan","19/03/2020",2
"320","Rajasthan","20/03/2020",8
"321","Rajasthan","21/03/2020",7
"322","Rajasthan","22/03/2020",5
"323","Rajasthan","23/03/2020",3
"324","Rajasthan","25/03/2020",6
"325","Rajasthan","26/03/2020",5
"326","Rajasthan","27/03/2020",7
"327","Rajasthan","28/03/2020",4
"328","Rajasthan","29/03/2020",5
"329","Rajasthan","30/03/2020",20
"330","Rajasthan","31/03/2020",14
"331","Tamil Nadu","01/04/2020",110
"332","Tamil Nadu","02/04/2020",75
"333","Tamil Nadu","03/04/2020",102
"334","Tamil Nadu","04/04/2020",74
"335","Tamil Nadu","05/04/2020",86
"336","Tamil Nadu","06/04/2020",50
"337","Tamil Nadu","07/03/2020",1
"338","Tamil Nadu","07/04/2020",69
"339","Tamil Nadu","18/03/2020",1
"340","Tamil Nadu","19/03/2020",1
"341","Tamil Nadu","21/03/2020",3
"342","Tamil Nadu","22/03/2020",3
"343","Tamil Nadu","23/03/2020",3
"344","Tamil Nadu","24/03/2020",6
"345","Tamil Nadu","25/03/2020",8
"346","Tamil Nadu","26/03/2020",3
"347","Tamil Nadu","27/03/2020",9
"348","Tamil Nadu","28/03/2020",4
"349","Tamil Nadu","29/03/2020",8
"350","Tamil Nadu","30/03/2020",17
"351","Tamil Nadu","31/03/2020",57
"352","Telangana","01/04/2020",30
"353","Telangana","02/03/2020",1
"354","Telangana","02/04/2020",27
"355","Telangana","03/04/2020",75
"356","Telangana","04/04/2020",43
"357","Telangana","05/04/2020",62
"358","Telangana","06/04/2020",30
"359","Telangana","07/04/2020",40
"360","Telangana","14/03/2020",1
"361","Telangana","15/03/2020",1
"362","Telangana","16/03/2020",1
"363","Telangana","17/03/2020",1
"364","Telangana","18/03/2020",8
"365","Telangana","19/03/2020",3
"366","Telangana","20/03/2020",3
"367","Telangana","21/03/2020",2
"368","Telangana","22/03/2020",6
"369","Telangana","23/03/2020",6
"370","Telangana","24/03/2020",6
"371","Telangana","25/03/2020",2
"372","Telangana","26/03/2020",4
"373","Telangana","27/03/2020",14
"374","Telangana","28/03/2020",8
"375","Telangana","29/03/2020",3
"376","Telangana","30/03/2020",7
"377","Telangana","31/03/2020",20
"378","Tripura","06/04/2020",1
"379","Uttar Pradesh","01/04/2020",13
"380","Uttar Pradesh","02/04/2020",11
"381","Uttar Pradesh","03/04/2020",46
"382","Uttar Pradesh","04/03/2020",7
"383","Uttar Pradesh","04/04/2020",60
"384","Uttar Pradesh","05/03/2020",1
"385","Uttar Pradesh","05/04/2020",44
"386","Uttar Pradesh","06/04/2020",27
"387","Uttar Pradesh","07/04/2020",27
"388","Uttar Pradesh","09/03/2020",2
"389","Uttar Pradesh","12/03/2020",2
"390","Uttar Pradesh","13/03/2020",1
"391","Uttar Pradesh","17/03/2020",2
"392","Uttar Pradesh","18/03/2020",2
"393","Uttar Pradesh","19/03/2020",3
"394","Uttar Pradesh","20/03/2020",4
"395","Uttar Pradesh","21/03/2020",4
"396","Uttar Pradesh","22/03/2020",2
"397","Uttar Pradesh","23/03/2020",4
"398","Uttar Pradesh","24/03/2020",1
"399","Uttar Pradesh","25/03/2020",3
"400","Uttar Pradesh","26/03/2020",4
"401","Uttar Pradesh","27/03/2020",7
"402","Uttar Pradesh","28/03/2020",16
"403","Uttar Pradesh","29/03/2020",7
"404","Uttar Pradesh","30/03/2020",24
"405","Uttar Pradesh","31/03/2020",8
"406","Uttarakhand","02/04/2020",3
"407","Uttarakhand","03/04/2020",6
"408","Uttarakhand","04/04/2020",6
