"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","09/04/2020",15
"15","Andhra Pradesh","10/04/2020",18
"16","Andhra Pradesh","12/03/2020",1
"17","Andhra Pradesh","19/03/2020",2
"18","Andhra Pradesh","21/03/2020",2
"19","Andhra Pradesh","22/03/2020",1
"20","Andhra Pradesh","23/03/2020",1
"21","Andhra Pradesh","24/03/2020",1
"22","Andhra Pradesh","25/03/2020",2
"23","Andhra Pradesh","26/03/2020",1
"24","Andhra Pradesh","27/03/2020",2
"25","Andhra Pradesh","28/03/2020",6
"26","Andhra Pradesh","29/03/2020",2
"27","Andhra Pradesh","30/03/2020",2
"28","Andhra Pradesh","31/03/2020",21
"29","Arunachal Pradesh","02/04/2020",1
"30","Assam","01/04/2020",15
"31","Assam","03/04/2020",7
"32","Assam","04/04/2020",3
"33","Assam","07/04/2020",2
"34","Assam","09/04/2020",1
"35","Assam","31/03/2020",1
"36","Bihar","01/04/2020",3
"37","Bihar","02/04/2020",5
"38","Bihar","03/04/2020",2
"39","Bihar","04/04/2020",1
"40","Bihar","07/04/2020",6
"41","Bihar","08/04/2020",1
"42","Bihar","09/04/2020",19
"43","Bihar","10/04/2020",2
"44","Bihar","22/03/2020",2
"45","Bihar","23/03/2020",1
"46","Bihar","25/03/2020",1
"47","Bihar","26/03/2020",3
"48","Bihar","27/03/2020",2
"49","Bihar","28/03/2020",2
"50","Bihar","29/03/2020",4
"51","Bihar","31/03/2020",6
"52","Chandigarh","01/04/2020",2
"53","Chandigarh","02/04/2020",1
"54","Chandigarh","10/04/2020",1
"55","Chandigarh","19/03/2020",1
"56","Chandigarh","20/03/2020",4
"57","Chandigarh","22/03/2020",1
"58","Chandigarh","23/03/2020",1
"59","Chandigarh","27/03/2020",1
"60","Chandigarh","30/03/2020",5
"61","Chandigarh","31/03/2020",2
"62","Chhattisgarh","04/04/2020",1
"63","Chhattisgarh","09/04/2020",8
"64","Chhattisgarh","19/03/2020",1
"65","Chhattisgarh","25/03/2020",2
"66","Chhattisgarh","26/03/2020",3
"67","Chhattisgarh","28/03/2020",1
"68","Chhattisgarh","30/03/2020",1
"69","Chhattisgarh","31/03/2020",1
"70","Dadra and Nagar Haveli","06/04/2020",1
"71","Delhi","01/04/2020",32
"72","Delhi","02/03/2020",1
"73","Delhi","02/04/2020",141
"74","Delhi","03/04/2020",93
"75","Delhi","04/04/2020",59
"76","Delhi","05/03/2020",1
"77","Delhi","05/04/2020",58
"78","Delhi","06/03/2020",1
"79","Delhi","06/04/2020",22
"80","Delhi","07/04/2020",51
"81","Delhi","08/04/2020",93
"82","Delhi","09/03/2020",1
"83","Delhi","09/04/2020",51
"84","Delhi","10/04/2020",183
"85","Delhi","11/03/2020",1
"86","Delhi","12/03/2020",1
"87","Delhi","13/03/2020",1
"88","Delhi","17/03/2020",3
"89","Delhi","18/03/2020",1
"90","Delhi","19/03/2020",3
"91","Delhi","20/03/2020",6
"92","Delhi","21/03/2020",7
"93","Delhi","22/03/2020",1
"94","Delhi","23/03/2020",2
"95","Delhi","25/03/2020",5
"96","Delhi","26/03/2020",4
"97","Delhi","27/03/2020",1
"98","Delhi","28/03/2020",9
"99","Delhi","29/03/2020",23
"100","Delhi","30/03/2020",25
"101","Delhi","31/03/2020",23
"102","Goa","03/04/2020",1
"103","Goa","04/04/2020",1
"104","Goa","25/03/2020",3
"105","Goa","29/03/2020",2
"106","Gujarat","01/04/2020",13
"107","Gujarat","02/04/2020",1
"108","Gujarat","03/04/2020",7
"109","Gujarat","04/04/2020",13
"110","Gujarat","05/04/2020",20
"111","Gujarat","06/04/2020",18
"112","Gujarat","07/04/2020",29
"113","Gujarat","08/04/2020",11
"114","Gujarat","09/04/2020",76
"115","Gujarat","10/04/2020",116
"116","Gujarat","11/04/2020",54
"117","Gujarat","19/03/2020",2
"118","Gujarat","20/03/2020",5
"119","Gujarat","21/03/2020",7
"120","Gujarat","22/03/2020",4
"121","Gujarat","23/03/2020",12
"122","Gujarat","24/03/2020",6
"123","Gujarat","25/03/2020",2
"124","Gujarat","26/03/2020",6
"125","Gujarat","27/03/2020",3
"126","Gujarat","28/03/2020",8
"127","Gujarat","29/03/2020",8
"128","Gujarat","30/03/2020",7
"129","Gujarat","31/03/2020",4
"130","Haryana","02/04/2020",6
"131","Haryana","03/04/2020",9
"132","Haryana","04/03/2020",14
"133","Haryana","04/04/2020",26
"134","Haryana","05/04/2020",6
"135","Haryana","06/04/2020",20
"136","Haryana","07/04/2020",33
"137","Haryana","08/04/2020",24
"138","Haryana","09/04/2020",3
"139","Haryana","10/04/2020",6
"140","Haryana","11/04/2020",1
"141","Haryana","17/03/2020",1
"142","Haryana","18/03/2020",2
"143","Haryana","20/03/2020",2
"144","Haryana","21/03/2020",2
"145","Haryana","23/03/2020",7
"146","Haryana","24/03/2020",2
"147","Haryana","25/03/2020",1
"148","Haryana","26/03/2020",1
"149","Haryana","27/03/2020",1
"150","Haryana","28/03/2020",2
"151","Haryana","30/03/2020",1
"152","Haryana","31/03/2020",7
"153","Himachal Pradesh","02/04/2020",3
"154","Himachal Pradesh","04/04/2020",7
"155","Himachal Pradesh","05/04/2020",1
"156","Himachal Pradesh","06/04/2020",4
"157","Himachal Pradesh","07/04/2020",9
"158","Himachal Pradesh","09/04/2020",1
"159","Himachal Pradesh","11/04/2020",2
"160","Himachal Pradesh","20/03/2020",2
"161","Himachal Pradesh","23/03/2020",1
"162","Jammu and Kashmir","01/04/2020",7
"163","Jammu and Kashmir","02/04/2020",8
"164","Jammu and Kashmir","03/04/2020",5
"165","Jammu and Kashmir","04/04/2020",17
"166","Jammu and Kashmir","05/04/2020",14
"167","Jammu and Kashmir","06/04/2020",3
"168","Jammu and Kashmir","07/04/2020",16
"169","Jammu and Kashmir","08/04/2020",33
"170","Jammu and Kashmir","09/03/2020",1
"171","Jammu and Kashmir","09/04/2020",26
"172","Jammu and Kashmir","10/04/2020",23
"173","Jammu and Kashmir","13/03/2020",1
"174","Jammu and Kashmir","16/03/2020",1
"175","Jammu and Kashmir","18/03/2020",1
"176","Jammu and Kashmir","24/03/2020",2
"177","Jammu and Kashmir","25/03/2020",5
"178","Jammu and Kashmir","26/03/2020",3
"179","Jammu and Kashmir","27/03/2020",6
"180","Jammu and Kashmir","28/03/2020",13
"181","Jammu and Kashmir","29/03/2020",5
"182","Jammu and Kashmir","30/03/2020",11
"183","Jammu and Kashmir","31/03/2020",6
"184","Jharkhand","02/04/2020",1
"185","Jharkhand","05/04/2020",1
"186","Jharkhand","06/04/2020",1
"187","Jharkhand","09/04/2020",9
"188","Jharkhand","10/04/2020",1
"189","Jharkhand","11/04/2020",3
"190","Jharkhand","31/03/2020",1
"191","Karnataka","01/04/2020",9
"192","Karnataka","02/04/2020",14
"193","Karnataka","03/04/2020",4
"194","Karnataka","04/04/2020",16
"195","Karnataka","05/04/2020",7
"196","Karnataka","06/04/2020",12
"197","Karnataka","07/04/2020",12
"198","Karnataka","08/04/2020",6
"199","Karnataka","09/03/2020",1
"200","Karnataka","09/04/2020",16
"201","Karnataka","10/03/2020",3
"202","Karnataka","10/04/2020",10
"203","Karnataka","11/04/2020",7
"204","Karnataka","12/03/2020",2
"205","Karnataka","16/03/2020",2
"206","Karnataka","17/03/2020",3
"207","Karnataka","18/03/2020",3
"208","Karnataka","19/03/2020",1
"209","Karnataka","21/03/2020",5
"210","Karnataka","22/03/2020",6
"211","Karnataka","23/03/2020",7
"212","Karnataka","24/03/2020",8
"213","Karnataka","25/03/2020",10
"214","Karnataka","26/03/2020",4
"215","Karnataka","27/03/2020",9
"216","Karnataka","28/03/2020",17
"217","Karnataka","29/03/2020",2
"218","Karnataka","30/03/2020",8
"219","Karnataka","31/03/2020",10
"220","Kerala","01/04/2020",24
"221","Kerala","02/02/2020",1
"222","Kerala","02/04/2020",21
"223","Kerala","03/02/2020",1
"224","Kerala","03/04/2020",9
"225","Kerala","04/04/2020",11
"226","Kerala","05/04/2020",8
"227","Kerala","06/04/2020",13
"228","Kerala","07/04/2020",9
"229","Kerala","08/03/2020",5
"230","Kerala","08/04/2020",9
"231","Kerala","09/03/2020",1
"232","Kerala","09/04/2020",12
"233","Kerala","10/03/2020",8
"234","Kerala","10/04/2020",7
"235","Kerala","12/03/2020",2
"236","Kerala","13/03/2020",3
"237","Kerala","15/03/2020",2
"238","Kerala","16/03/2020",3
"239","Kerala","19/03/2020",1
"240","Kerala","20/03/2020",12
"241","Kerala","21/03/2020",12
"242","Kerala","22/03/2020",15
"243","Kerala","23/03/2020",28
"244","Kerala","24/03/2020",14
"245","Kerala","25/03/2020",9
"246","Kerala","26/03/2020",19
"247","Kerala","27/03/2020",39
"248","Kerala","28/03/2020",6
"249","Kerala","29/03/2020",20
"250","Kerala","30/01/2020",1
"251","Kerala","30/03/2020",32
"252","Kerala","31/03/2020",7
"253","Ladakh","03/04/2020",1
"254","Ladakh","07/03/2020",2
"255","Ladakh","10/04/2020",1
"256","Ladakh","11/03/2020",1
"257","Ladakh","17/03/2020",5
"258","Ladakh","20/03/2020",2
"259","Ladakh","21/03/2020",3
"260","Madhya Pradesh","01/04/2020",32
"261","Madhya Pradesh","02/04/2020",9
"262","Madhya Pradesh","03/04/2020",47
"263","Madhya Pradesh","04/04/2020",25
"264","Madhya Pradesh","05/04/2020",14
"265","Madhya Pradesh","06/04/2020",63
"266","Madhya Pradesh","07/04/2020",34
"267","Madhya Pradesh","08/04/2020",51
"268","Madhya Pradesh","09/04/2020",70
"269","Madhya Pradesh","10/04/2020",40
"270","Madhya Pradesh","20/03/2020",4
"271","Madhya Pradesh","22/03/2020",2
"272","Madhya Pradesh","24/03/2020",1
"273","Madhya Pradesh","25/03/2020",8
"274","Madhya Pradesh","26/03/2020",5
"275","Madhya Pradesh","27/03/2020",9
"276","Madhya Pradesh","28/03/2020",10
"277","Madhya Pradesh","30/03/2020",8
"278","Madhya Pradesh","31/03/2020",19
"279","Maharashtra","01/04/2020",33
"280","Maharashtra","02/04/2020",88
"281","Maharashtra","03/04/2020",64
"282","Maharashtra","04/04/2020",148
"283","Maharashtra","05/04/2020",112
"284","Maharashtra","06/04/2020",121
"285","Maharashtra","07/04/2020",150
"286","Maharashtra","08/04/2020",117
"287","Maharashtra","09/03/2020",2
"288","Maharashtra","09/04/2020",229
"289","Maharashtra","10/03/2020",3
"290","Maharashtra","10/04/2020",210
"291","Maharashtra","11/03/2020",6
"292","Maharashtra","11/04/2020",92
"293","Maharashtra","12/03/2020",3
"294","Maharashtra","13/03/2020",3
"295","Maharashtra","14/03/2020",9
"296","Maharashtra","15/03/2020",6
"297","Maharashtra","16/03/2020",7
"298","Maharashtra","17/03/2020",2
"299","Maharashtra","18/03/2020",4
"300","Maharashtra","19/03/2020",3
"301","Maharashtra","20/03/2020",6
"302","Maharashtra","21/03/2020",10
"303","Maharashtra","22/03/2020",10
"304","Maharashtra","23/03/2020",15
"305","Maharashtra","24/03/2020",18
"306","Maharashtra","25/03/2020",15
"307","Maharashtra","26/03/2020",3
"308","Maharashtra","27/03/2020",28
"309","Maharashtra","28/03/2020",28
"310","Maharashtra","29/03/2020",22
"311","Maharashtra","30/03/2020",17
"312","Maharashtra","31/03/2020",82
"313","Manipur","02/04/2020",1
"314","Manipur","24/03/2020",1
"315","Mizoram","25/03/2020",1
"316","Odisha","01/04/2020",1
"317","Odisha","03/04/2020",15
"318","Odisha","04/04/2020",1
"319","Odisha","05/04/2020",18
"320","Odisha","06/04/2020",1
"321","Odisha","07/04/2020",2
"322","Odisha","09/04/2020",6
"323","Odisha","10/04/2020",2
"324","Odisha","16/03/2020",1
"325","Odisha","19/03/2020",1
"326","Odisha","26/03/2020",1
"327","Odisha","31/03/2020",1
"328","Puducherry","01/04/2020",2
"329","Puducherry","02/04/2020",2
"330","Puducherry","10/04/2020",2
"331","Puducherry","17/03/2020",1
"332","Punjab","01/04/2020",4
"333","Punjab","02/04/2020",1
"334","Punjab","03/04/2020",6
"335","Punjab","04/04/2020",12
"336","Punjab","05/04/2020",3
"337","Punjab","06/04/2020",11
"338","Punjab","07/04/2020",20
"339","Punjab","08/04/2020",7
"340","Punjab","09/03/2020",1
"341","Punjab","09/04/2020",24
"342","Punjab","10/04/2020",21
"343","Punjab","19/03/2020",1
"344","Punjab","20/03/2020",1
"345","Punjab","21/03/2020",10
"346","Punjab","22/03/2020",8
"347","Punjab","23/03/2020",2
"348","Punjab","24/03/2020",6
"349","Punjab","25/03/2020",2
"350","Punjab","26/03/2020",2
"351","Punjab","27/03/2020",5
"352","Punjab","30/03/2020",3
"353","Punjab","31/03/2020",1
"354","Rajasthan","01/04/2020",27
"355","Rajasthan","02/04/2020",13
"356","Rajasthan","03/03/2020",1
"357","Rajasthan","03/04/2020",46
"358","Rajasthan","04/03/2020",1
"359","Rajasthan","04/04/2020",27
"360","Rajasthan","05/04/2020",60
"361","Rajasthan","06/04/2020",35
"362","Rajasthan","07/04/2020",42
"363","Rajasthan","08/04/2020",40
"364","Rajasthan","09/04/2020",80
"365","Rajasthan","10/03/2020",1
"366","Rajasthan","10/04/2020",98
"367","Rajasthan","11/04/2020",117
"368","Rajasthan","14/03/2020",1
"369","Rajasthan","18/03/2020",3
