"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","12/03/2020",1
"15","Andhra Pradesh","19/03/2020",2
"16","Andhra Pradesh","21/03/2020",2
"17","Andhra Pradesh","22/03/2020",1
"18","Andhra Pradesh","23/03/2020",1
"19","Andhra Pradesh","24/03/2020",1
"20","Andhra Pradesh","25/03/2020",2
"21","Andhra Pradesh","26/03/2020",1
"22","Andhra Pradesh","27/03/2020",2
"23","Andhra Pradesh","28/03/2020",6
"24","Andhra Pradesh","29/03/2020",2
"25","Andhra Pradesh","30/03/2020",2
"26","Andhra Pradesh","31/03/2020",21
"27","Arunachal Pradesh","02/04/2020",1
"28","Assam","01/04/2020",15
"29","Assam","03/04/2020",7
"30","Assam","04/04/2020",3
"31","Assam","07/04/2020",2
"32","Assam","31/03/2020",1
"33","Bihar","01/04/2020",3
"34","Bihar","02/04/2020",5
"35","Bihar","03/04/2020",2
"36","Bihar","04/04/2020",1
"37","Bihar","07/04/2020",6
"38","Bihar","22/03/2020",2
"39","Bihar","23/03/2020",1
"40","Bihar","25/03/2020",1
"41","Bihar","26/03/2020",3
"42","Bihar","27/03/2020",2
"43","Bihar","28/03/2020",2
"44","Bihar","29/03/2020",4
"45","Bihar","31/03/2020",6
"46","Chandigarh","01/04/2020",2
"47","Chandigarh","02/04/2020",1
"48","Chandigarh","19/03/2020",1
"49","Chandigarh","20/03/2020",4
"50","Chandigarh","22/03/2020",1
"51","Chandigarh","23/03/2020",1
"52","Chandigarh","27/03/2020",1
"53","Chandigarh","30/03/2020",5
"54","Chandigarh","31/03/2020",2
"55","Chhattisgarh","04/04/2020",1
"56","Chhattisgarh","19/03/2020",1
"57","Chhattisgarh","25/03/2020",2
"58","Chhattisgarh","26/03/2020",3
"59","Chhattisgarh","28/03/2020",1
"60","Chhattisgarh","30/03/2020",1
"61","Chhattisgarh","31/03/2020",1
"62","Dadra and Nagar Haveli","06/04/2020",1
"63","Delhi","01/04/2020",32
"64","Delhi","02/03/2020",1
"65","Delhi","02/04/2020",141
"66","Delhi","03/04/2020",93
"67","Delhi","04/04/2020",59
"68","Delhi","05/03/2020",1
"69","Delhi","05/04/2020",58
"70","Delhi","06/03/2020",1
"71","Delhi","06/04/2020",22
"72","Delhi","07/04/2020",51
"73","Delhi","09/03/2020",1
"74","Delhi","11/03/2020",1
"75","Delhi","12/03/2020",1
"76","Delhi","13/03/2020",1
"77","Delhi","17/03/2020",3
"78","Delhi","18/03/2020",1
"79","Delhi","19/03/2020",3
"80","Delhi","20/03/2020",6
"81","Delhi","21/03/2020",7
"82","Delhi","22/03/2020",1
"83","Delhi","23/03/2020",2
"84","Delhi","25/03/2020",5
"85","Delhi","26/03/2020",4
"86","Delhi","27/03/2020",1
"87","Delhi","28/03/2020",9
"88","Delhi","29/03/2020",23
"89","Delhi","30/03/2020",25
"90","Delhi","31/03/2020",23
"91","Goa","03/04/2020",1
"92","Goa","04/04/2020",1
"93","Goa","25/03/2020",3
"94","Goa","29/03/2020",2
"95","Gujarat","01/04/2020",13
"96","Gujarat","02/04/2020",1
"97","Gujarat","03/04/2020",7
"98","Gujarat","04/04/2020",13
"99","Gujarat","05/04/2020",20
"100","Gujarat","06/04/2020",18
"101","Gujarat","07/04/2020",29
"102","Gujarat","08/04/2020",11
"103","Gujarat","19/03/2020",2
"104","Gujarat","20/03/2020",5
"105","Gujarat","21/03/2020",7
"106","Gujarat","22/03/2020",4
"107","Gujarat","23/03/2020",12
"108","Gujarat","24/03/2020",6
"109","Gujarat","25/03/2020",2
"110","Gujarat","26/03/2020",6
"111","Gujarat","27/03/2020",3
"112","Gujarat","28/03/2020",8
"113","Gujarat","29/03/2020",8
"114","Gujarat","30/03/2020",7
"115","Gujarat","31/03/2020",4
"116","Haryana","02/04/2020",6
"117","Haryana","03/04/2020",9
"118","Haryana","04/03/2020",14
"119","Haryana","04/04/2020",26
"120","Haryana","05/04/2020",6
"121","Haryana","06/04/2020",20
"122","Haryana","07/04/2020",33
"123","Haryana","08/04/2020",24
"124","Haryana","17/03/2020",1
"125","Haryana","18/03/2020",2
"126","Haryana","20/03/2020",2
"127","Haryana","21/03/2020",2
"128","Haryana","23/03/2020",7
"129","Haryana","24/03/2020",2
"130","Haryana","25/03/2020",1
"131","Haryana","26/03/2020",1
"132","Haryana","27/03/2020",1
"133","Haryana","28/03/2020",2
"134","Haryana","30/03/2020",1
"135","Haryana","31/03/2020",7
"136","Himachal Pradesh","02/04/2020",3
"137","Himachal Pradesh","04/04/2020",7
"138","Himachal Pradesh","05/04/2020",1
"139","Himachal Pradesh","06/04/2020",4
"140","Himachal Pradesh","07/04/2020",9
"141","Himachal Pradesh","20/03/2020",2
"142","Himachal Pradesh","23/03/2020",1
"143","Jammu and Kashmir","01/04/2020",7
"144","Jammu and Kashmir","02/04/2020",8
"145","Jammu and Kashmir","03/04/2020",5
"146","Jammu and Kashmir","04/04/2020",17
"147","Jammu and Kashmir","05/04/2020",14
"148","Jammu and Kashmir","06/04/2020",3
"149","Jammu and Kashmir","07/04/2020",16
"150","Jammu and Kashmir","08/04/2020",33
"151","Jammu and Kashmir","09/03/2020",1
"152","Jammu and Kashmir","13/03/2020",1
"153","Jammu and Kashmir","16/03/2020",1
"154","Jammu and Kashmir","18/03/2020",1
"155","Jammu and Kashmir","24/03/2020",2
"156","Jammu and Kashmir","25/03/2020",5
"157","Jammu and Kashmir","26/03/2020",3
"158","Jammu and Kashmir","27/03/2020",6
"159","Jammu and Kashmir","28/03/2020",13
"160","Jammu and Kashmir","29/03/2020",5
"161","Jammu and Kashmir","30/03/2020",11
"162","Jammu and Kashmir","31/03/2020",6
"163","Jharkhand","02/04/2020",1
"164","Jharkhand","05/04/2020",1
"165","Jharkhand","06/04/2020",1
"166","Jharkhand","31/03/2020",1
"167","Karnataka","01/04/2020",9
"168","Karnataka","02/04/2020",14
"169","Karnataka","03/04/2020",4
"170","Karnataka","04/04/2020",16
"171","Karnataka","05/04/2020",7
"172","Karnataka","06/04/2020",12
"173","Karnataka","07/04/2020",12
"174","Karnataka","08/04/2020",6
"175","Karnataka","09/03/2020",1
"176","Karnataka","10/03/2020",3
"177","Karnataka","12/03/2020",2
"178","Karnataka","16/03/2020",2
"179","Karnataka","17/03/2020",3
"180","Karnataka","18/03/2020",3
"181","Karnataka","19/03/2020",1
"182","Karnataka","21/03/2020",5
"183","Karnataka","22/03/2020",6
"184","Karnataka","23/03/2020",7
"185","Karnataka","24/03/2020",8
"186","Karnataka","25/03/2020",10
"187","Karnataka","26/03/2020",4
"188","Karnataka","27/03/2020",9
"189","Karnataka","28/03/2020",17
"190","Karnataka","29/03/2020",2
"191","Karnataka","30/03/2020",8
"192","Karnataka","31/03/2020",10
"193","Kerala","01/04/2020",24
"194","Kerala","02/02/2020",1
"195","Kerala","02/04/2020",21
"196","Kerala","03/02/2020",1
"197","Kerala","03/04/2020",9
"198","Kerala","04/04/2020",11
"199","Kerala","05/04/2020",8
"200","Kerala","06/04/2020",13
"201","Kerala","07/04/2020",9
"202","Kerala","08/03/2020",5
"203","Kerala","08/04/2020",9
"204","Kerala","09/03/2020",1
"205","Kerala","10/03/2020",8
"206","Kerala","12/03/2020",2
"207","Kerala","13/03/2020",3
"208","Kerala","15/03/2020",2
"209","Kerala","16/03/2020",3
"210","Kerala","19/03/2020",1
"211","Kerala","20/03/2020",12
"212","Kerala","21/03/2020",12
"213","Kerala","22/03/2020",15
"214","Kerala","23/03/2020",28
"215","Kerala","24/03/2020",14
"216","Kerala","25/03/2020",9
"217","Kerala","26/03/2020",19
"218","Kerala","27/03/2020",39
"219","Kerala","28/03/2020",6
"220","Kerala","29/03/2020",20
"221","Kerala","30/01/2020",1
"222","Kerala","30/03/2020",32
"223","Kerala","31/03/2020",7
"224","Ladakh","03/04/2020",1
"225","Ladakh","07/03/2020",2
"226","Ladakh","11/03/2020",1
"227","Ladakh","17/03/2020",5
"228","Ladakh","20/03/2020",2
"229","Ladakh","21/03/2020",3
"230","Madhya Pradesh","01/04/2020",32
"231","Madhya Pradesh","02/04/2020",9
"232","Madhya Pradesh","03/04/2020",47
"233","Madhya Pradesh","04/04/2020",25
"234","Madhya Pradesh","05/04/2020",14
"235","Madhya Pradesh","06/04/2020",63
"236","Madhya Pradesh","07/04/2020",34
"237","Madhya Pradesh","08/04/2020",51
"238","Madhya Pradesh","20/03/2020",4
"239","Madhya Pradesh","22/03/2020",2
"240","Madhya Pradesh","24/03/2020",1
"241","Madhya Pradesh","25/03/2020",8
"242","Madhya Pradesh","26/03/2020",5
"243","Madhya Pradesh","27/03/2020",9
"244","Madhya Pradesh","28/03/2020",10
"245","Madhya Pradesh","30/03/2020",8
"246","Madhya Pradesh","31/03/2020",19
"247","Maharashtra","01/04/2020",33
"248","Maharashtra","02/04/2020",88
"249","Maharashtra","03/04/2020",64
"250","Maharashtra","04/04/2020",148
"251","Maharashtra","05/04/2020",112
"252","Maharashtra","06/04/2020",121
"253","Maharashtra","07/04/2020",150
"254","Maharashtra","08/04/2020",117
"255","Maharashtra","09/03/2020",2
"256","Maharashtra","10/03/2020",3
"257","Maharashtra","11/03/2020",5
"258","Maharashtra","12/03/2020",4
"259","Maharashtra","13/03/2020",3
"260","Maharashtra","14/03/2020",14
"261","Maharashtra","15/03/2020",1
"262","Maharashtra","16/03/2020",7
"263","Maharashtra","17/03/2020",2
"264","Maharashtra","18/03/2020",4
"265","Maharashtra","19/03/2020",3
"266","Maharashtra","20/03/2020",6
"267","Maharashtra","21/03/2020",10
"268","Maharashtra","22/03/2020",10
"269","Maharashtra","23/03/2020",15
"270","Maharashtra","24/03/2020",18
"271","Maharashtra","25/03/2020",15
"272","Maharashtra","26/03/2020",3
"273","Maharashtra","27/03/2020",28
"274","Maharashtra","28/03/2020",28
"275","Maharashtra","29/03/2020",22
"276","Maharashtra","30/03/2020",17
"277","Maharashtra","31/03/2020",82
"278","Manipur","02/04/2020",1
"279","Manipur","24/03/2020",1
"280","Mizoram","25/03/2020",1
"281","Odisha","01/04/2020",1
"282","Odisha","03/04/2020",15
"283","Odisha","04/04/2020",1
"284","Odisha","05/04/2020",18
"285","Odisha","06/04/2020",1
"286","Odisha","07/04/2020",2
"287","Odisha","16/03/2020",1
"288","Odisha","19/03/2020",1
"289","Odisha","26/03/2020",1
"290","Odisha","31/03/2020",1
"291","Puducherry","01/04/2020",2
"292","Puducherry","02/04/2020",2
"293","Puducherry","17/03/2020",1
"294","Punjab","01/04/2020",4
"295","Punjab","02/04/2020",1
"296","Punjab","03/04/2020",6
"297","Punjab","04/04/2020",12
"298","Punjab","05/04/2020",3
"299","Punjab","06/04/2020",11
"300","Punjab","07/04/2020",20
"301","Punjab","08/04/2020",7
"302","Punjab","09/03/2020",1
"303","Punjab","19/03/2020",1
"304","Punjab","20/03/2020",1
"305","Punjab","21/03/2020",10
"306","Punjab","22/03/2020",8
"307","Punjab","23/03/2020",2
"308","Punjab","24/03/2020",6
"309","Punjab","25/03/2020",2
"310","Punjab","26/03/2020",2
"311","Punjab","27/03/2020",5
"312","Punjab","30/03/2020",3
"313","Punjab","31/03/2020",1
"314","Rajasthan","01/04/2020",27
"315","Rajasthan","02/04/2020",13
"316","Rajasthan","03/03/2020",1
"317","Rajasthan","03/04/2020",46
"318","Rajasthan","04/03/2020",1
"319","Rajasthan","04/04/2020",27
"320","Rajasthan","05/04/2020",60
"321","Rajasthan","06/04/2020",35
"322","Rajasthan","07/04/2020",42
"323","Rajasthan","08/04/2020",20
"324","Rajasthan","10/03/2020",1
"325","Rajasthan","14/03/2020",1
"326","Rajasthan","18/03/2020",3
"327","Rajasthan","19/03/2020",2
"328","Rajasthan","20/03/2020",8
"329","Rajasthan","21/03/2020",7
"330","Rajasthan","22/03/2020",5
"331","Rajasthan","23/03/2020",3
"332","Rajasthan","25/03/2020",6
"333","Rajasthan","26/03/2020",5
"334","Rajasthan","27/03/2020",7
"335","Rajasthan","28/03/2020",4
"336","Rajasthan","29/03/2020",5
"337","Rajasthan","30/03/2020",20
"338","Rajasthan","31/03/2020",14
"339","Tamil Nadu","01/04/2020",110
"340","Tamil Nadu","02/04/2020",75
"341","Tamil Nadu","03/04/2020",102
"342","Tamil Nadu","04/04/2020",74
"343","Tamil Nadu","05/04/2020",86
"344","Tamil Nadu","06/04/2020",50
"345","Tamil Nadu","07/03/2020",1
"346","Tamil Nadu","07/04/2020",69
"347","Tamil Nadu","08/04/2020",48
"348","Tamil Nadu","18/03/2020",1
"349","Tamil Nadu","19/03/2020",1
"350","Tamil Nadu","21/03/2020",3
"351","Tamil Nadu","22/03/2020",3
"352","Tamil Nadu","23/03/2020",3
"353","Tamil Nadu","24/03/2020",6
"354","Tamil Nadu","25/03/2020",8
"355","Tamil Nadu","26/03/2020",3
"356","Tamil Nadu","27/03/2020",9
"357","Tamil Nadu","28/03/2020",4
"358","Tamil Nadu","29/03/2020",8
"359","Tamil Nadu","30/03/2020",17
"360","Tamil Nadu","31/03/2020",57
"361","Telangana","01/04/2020",30
"362","Telangana","02/03/2020",1
"363","Telangana","02/04/2020",27
"364","Telangana","03/04/2020",75
"365","Telangana","04/04/2020",43
"366","Telangana","05/04/2020",62
"367","Telangana","06/04/2020",30
