"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","12/03/2020",1
"7","Andhra Pradesh","19/03/2020",2
"8","Andhra Pradesh","21/03/2020",2
"9","Andhra Pradesh","22/03/2020",1
"10","Andhra Pradesh","23/03/2020",1
"11","Andhra Pradesh","24/03/2020",1
"12","Andhra Pradesh","25/03/2020",2
"13","Andhra Pradesh","26/03/2020",1
"14","Andhra Pradesh","27/03/2020",2
"15","Andhra Pradesh","28/03/2020",6
"16","Andhra Pradesh","29/03/2020",2
"17","Andhra Pradesh","30/03/2020",2
"18","Andhra Pradesh","31/03/2020",21
"19","Assam","01/04/2020",12
"20","Assam","31/03/2020",1
"21","Bihar","01/04/2020",3
"22","Bihar","22/03/2020",2
"23","Bihar","23/03/2020",1
"24","Bihar","25/03/2020",1
"25","Bihar","26/03/2020",3
"26","Bihar","27/03/2020",2
"27","Bihar","28/03/2020",2
"28","Bihar","29/03/2020",4
"29","Bihar","31/03/2020",6
"30","Chandigarh","19/03/2020",1
"31","Chandigarh","20/03/2020",4
"32","Chandigarh","22/03/2020",1
"33","Chandigarh","23/03/2020",1
"34","Chandigarh","27/03/2020",1
"35","Chandigarh","30/03/2020",5
"36","Chandigarh","31/03/2020",2
"37","Chhattisgarh","19/03/2020",1
"38","Chhattisgarh","25/03/2020",2
"39","Chhattisgarh","26/03/2020",3
"40","Chhattisgarh","28/03/2020",1
"41","Chhattisgarh","30/03/2020",1
"42","Chhattisgarh","31/03/2020",1
"43","Delhi","01/04/2020",32
"44","Delhi","02/03/2020",1
"45","Delhi","05/03/2020",1
"46","Delhi","06/03/2020",1
"47","Delhi","09/03/2020",1
"48","Delhi","11/03/2020",1
"49","Delhi","12/03/2020",1
"50","Delhi","13/03/2020",1
"51","Delhi","17/03/2020",3
"52","Delhi","18/03/2020",1
"53","Delhi","19/03/2020",3
"54","Delhi","20/03/2020",6
"55","Delhi","21/03/2020",7
"56","Delhi","22/03/2020",1
"57","Delhi","23/03/2020",2
"58","Delhi","25/03/2020",5
"59","Delhi","26/03/2020",4
"60","Delhi","27/03/2020",1
"61","Delhi","28/03/2020",9
"62","Delhi","29/03/2020",23
"63","Delhi","30/03/2020",25
"64","Delhi","31/03/2020",23
"65","Goa","25/03/2020",3
"66","Goa","29/03/2020",2
"67","Gujarat","01/04/2020",13
"68","Gujarat","19/03/2020",2
"69","Gujarat","20/03/2020",5
"70","Gujarat","21/03/2020",7
"71","Gujarat","22/03/2020",4
"72","Gujarat","23/03/2020",12
"73","Gujarat","24/03/2020",6
"74","Gujarat","25/03/2020",2
"75","Gujarat","26/03/2020",6
"76","Gujarat","27/03/2020",3
"77","Gujarat","28/03/2020",8
"78","Gujarat","29/03/2020",8
"79","Gujarat","30/03/2020",7
"80","Gujarat","31/03/2020",4
"81","Haryana","04/03/2020",14
"82","Haryana","17/03/2020",1
"83","Haryana","18/03/2020",2
"84","Haryana","20/03/2020",2
"85","Haryana","21/03/2020",2
"86","Haryana","23/03/2020",7
"87","Haryana","24/03/2020",2
"88","Haryana","25/03/2020",1
"89","Haryana","26/03/2020",1
"90","Haryana","27/03/2020",1
"91","Haryana","28/03/2020",2
"92","Haryana","30/03/2020",1
"93","Haryana","31/03/2020",7
"94","Himachal Pradesh","20/03/2020",2
"95","Himachal Pradesh","23/03/2020",1
"96","Jammu and Kashmir","01/04/2020",7
"97","Jammu and Kashmir","09/03/2020",1
"98","Jammu and Kashmir","13/03/2020",1
"99","Jammu and Kashmir","16/03/2020",1
"100","Jammu and Kashmir","18/03/2020",1
"101","Jammu and Kashmir","24/03/2020",2
"102","Jammu and Kashmir","25/03/2020",5
