"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","02/04/2020",38
"7","Andhra Pradesh","03/04/2020",15
"8","Andhra Pradesh","04/04/2020",26
"9","Andhra Pradesh","12/03/2020",1
"10","Andhra Pradesh","19/03/2020",2
"11","Andhra Pradesh","21/03/2020",2
"12","Andhra Pradesh","22/03/2020",1
"13","Andhra Pradesh","23/03/2020",1
"14","Andhra Pradesh","24/03/2020",1
"15","Andhra Pradesh","25/03/2020",2
"16","Andhra Pradesh","26/03/2020",1
"17","Andhra Pradesh","27/03/2020",2
"18","Andhra Pradesh","28/03/2020",6
"19","Andhra Pradesh","29/03/2020",2
"20","Andhra Pradesh","30/03/2020",2
"21","Andhra Pradesh","31/03/2020",21
"22","Arunachal Pradesh","02/04/2020",1
"23","Assam","01/04/2020",15
"24","Assam","03/04/2020",7
"25","Assam","04/04/2020",2
"26","Assam","31/03/2020",1
"27","Bihar","01/04/2020",3
"28","Bihar","02/04/2020",5
"29","Bihar","03/04/2020",2
"30","Bihar","04/04/2020",1
"31","Bihar","22/03/2020",2
"32","Bihar","23/03/2020",1
"33","Bihar","25/03/2020",1
"34","Bihar","26/03/2020",3
"35","Bihar","27/03/2020",2
"36","Bihar","28/03/2020",2
"37","Bihar","29/03/2020",4
"38","Bihar","31/03/2020",6
"39","Chandigarh","01/04/2020",2
"40","Chandigarh","02/04/2020",1
"41","Chandigarh","19/03/2020",1
"42","Chandigarh","20/03/2020",4
"43","Chandigarh","22/03/2020",1
"44","Chandigarh","23/03/2020",1
"45","Chandigarh","27/03/2020",1
"46","Chandigarh","30/03/2020",5
"47","Chandigarh","31/03/2020",2
"48","Chhattisgarh","04/04/2020",1
"49","Chhattisgarh","19/03/2020",1
"50","Chhattisgarh","25/03/2020",2
"51","Chhattisgarh","26/03/2020",3
"52","Chhattisgarh","28/03/2020",1
"53","Chhattisgarh","30/03/2020",1
"54","Chhattisgarh","31/03/2020",1
"55","Delhi","01/04/2020",32
"56","Delhi","02/03/2020",1
"57","Delhi","02/04/2020",141
"58","Delhi","03/04/2020",93
"59","Delhi","04/04/2020",59
"60","Delhi","05/03/2020",1
"61","Delhi","06/03/2020",1
"62","Delhi","09/03/2020",1
"63","Delhi","11/03/2020",1
"64","Delhi","12/03/2020",1
"65","Delhi","13/03/2020",1
"66","Delhi","17/03/2020",3
"67","Delhi","18/03/2020",1
"68","Delhi","19/03/2020",3
"69","Delhi","20/03/2020",6
"70","Delhi","21/03/2020",7
"71","Delhi","22/03/2020",1
"72","Delhi","23/03/2020",2
"73","Delhi","25/03/2020",5
"74","Delhi","26/03/2020",4
"75","Delhi","27/03/2020",1
"76","Delhi","28/03/2020",9
"77","Delhi","29/03/2020",23
"78","Delhi","30/03/2020",25
"79","Delhi","31/03/2020",23
"80","Goa","03/04/2020",1
"81","Goa","04/04/2020",1
"82","Goa","25/03/2020",3
"83","Goa","29/03/2020",2
"84","Gujarat","01/04/2020",13
"85","Gujarat","02/04/2020",1
"86","Gujarat","03/04/2020",7
"87","Gujarat","04/04/2020",13
"88","Gujarat","19/03/2020",2
"89","Gujarat","20/03/2020",5
"90","Gujarat","21/03/2020",7
"91","Gujarat","22/03/2020",4
"92","Gujarat","23/03/2020",12
"93","Gujarat","24/03/2020",6
"94","Gujarat","25/03/2020",2
"95","Gujarat","26/03/2020",6
"96","Gujarat","27/03/2020",3
"97","Gujarat","28/03/2020",8
"98","Gujarat","29/03/2020",8
"99","Gujarat","30/03/2020",7
"100","Gujarat","31/03/2020",4
"101","Haryana","02/04/2020",6
"102","Haryana","03/04/2020",9
"103","Haryana","04/03/2020",14
