"","detectedstate","dateannounced","numberofcases"
"167","Karnataka","23/03/2020",7
"168","Karnataka","24/03/2020",8
"169","Karnataka","25/03/2020",10
"170","Karnataka","26/03/2020",4
"171","Karnataka","27/03/2020",9
"172","Karnataka","28/03/2020",17
"173","Karnataka","29/03/2020",2
"174","Karnataka","30/03/2020",8
"175","Karnataka","31/03/2020",10
"176","Kerala","01/04/2020",24
"177","Kerala","02/02/2020",1
"178","Kerala","02/04/2020",21
"179","Kerala","03/02/2020",1
"180","Kerala","03/04/2020",9
"181","Kerala","04/04/2020",11
"182","Kerala","05/04/2020",8
"183","Kerala","06/04/2020",13
"184","Kerala","08/03/2020",5
"185","Kerala","09/03/2020",1
"186","Kerala","10/03/2020",8
"187","Kerala","12/03/2020",2
"188","Kerala","13/03/2020",3
"189","Kerala","15/03/2020",2
"190","Kerala","16/03/2020",3
"191","Kerala","19/03/2020",1
"192","Kerala","20/03/2020",12
"193","Kerala","21/03/2020",12
"194","Kerala","22/03/2020",15
"195","Kerala","23/03/2020",28
"196","Kerala","24/03/2020",14
"197","Kerala","25/03/2020",9
"198","Kerala","26/03/2020",19
"199","Kerala","27/03/2020",39
"200","Kerala","28/03/2020",6
"201","Kerala","29/03/2020",20
"202","Kerala","30/01/2020",1
"203","Kerala","30/03/2020",32
"204","Kerala","31/03/2020",7
"205","Ladakh","03/04/2020",1
"206","Ladakh","07/03/2020",2
"207","Ladakh","11/03/2020",1
"208","Ladakh","17/03/2020",5
"209","Ladakh","20/03/2020",2
"210","Ladakh","21/03/2020",3
"211","Madhya Pradesh","01/04/2020",32
"212","Madhya Pradesh","02/04/2020",9
"213","Madhya Pradesh","03/04/2020",47
"214","Madhya Pradesh","04/04/2020",25
"215","Madhya Pradesh","05/04/2020",14
"216","Madhya Pradesh","06/04/2020",63
"217","Madhya Pradesh","20/03/2020",4
"218","Madhya Pradesh","22/03/2020",2
"219","Madhya Pradesh","24/03/2020",1
"220","Madhya Pradesh","25/03/2020",8
"221","Madhya Pradesh","26/03/2020",5
"222","Madhya Pradesh","27/03/2020",9
"223","Madhya Pradesh","28/03/2020",10
"224","Madhya Pradesh","30/03/2020",8
"225","Madhya Pradesh","31/03/2020",19
"226","Maharashtra","01/04/2020",33
"227","Maharashtra","02/04/2020",88
"228","Maharashtra","03/04/2020",64
"229","Maharashtra","04/04/2020",148
"230","Maharashtra","05/04/2020",113
"231","Maharashtra","06/04/2020",120
"232","Maharashtra","09/03/2020",2
"233","Maharashtra","10/03/2020",3
"234","Maharashtra","11/03/2020",5
"235","Maharashtra","12/03/2020",4
"236","Maharashtra","13/03/2020",3
"237","Maharashtra","14/03/2020",14
"238","Maharashtra","15/03/2020",1
