"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","09/04/2020",15
"15","Andhra Pradesh","12/03/2020",1
"16","Andhra Pradesh","19/03/2020",2
"17","Andhra Pradesh","21/03/2020",2
"18","Andhra Pradesh","22/03/2020",1
"19","Andhra Pradesh","23/03/2020",1
"20","Andhra Pradesh","24/03/2020",1
"21","Andhra Pradesh","25/03/2020",2
"22","Andhra Pradesh","26/03/2020",1
"23","Andhra Pradesh","27/03/2020",2
"24","Andhra Pradesh","28/03/2020",6
"25","Andhra Pradesh","29/03/2020",2
"26","Andhra Pradesh","30/03/2020",2
"27","Andhra Pradesh","31/03/2020",21
"28","Arunachal Pradesh","02/04/2020",1
"29","Assam","01/04/2020",15
"30","Assam","03/04/2020",7
"31","Assam","04/04/2020",3
"32","Assam","07/04/2020",2
"33","Assam","09/04/2020",1
"34","Assam","31/03/2020",1
"35","Bihar","01/04/2020",3
"36","Bihar","02/04/2020",5
"37","Bihar","03/04/2020",2
"38","Bihar","04/04/2020",1
"39","Bihar","07/04/2020",6
"40","Bihar","08/04/2020",1
"41","Bihar","09/04/2020",19
"42","Bihar","22/03/2020",2
"43","Bihar","23/03/2020",1
"44","Bihar","25/03/2020",1
"45","Bihar","26/03/2020",3
"46","Bihar","27/03/2020",2
"47","Bihar","28/03/2020",2
"48","Bihar","29/03/2020",4
"49","Bihar","31/03/2020",6
"50","Chandigarh","01/04/2020",2
"51","Chandigarh","02/04/2020",1
"52","Chandigarh","19/03/2020",1
"53","Chandigarh","20/03/2020",4
"54","Chandigarh","22/03/2020",1
"55","Chandigarh","23/03/2020",1
"56","Chandigarh","27/03/2020",1
"57","Chandigarh","30/03/2020",5
"58","Chandigarh","31/03/2020",2
"59","Chhattisgarh","04/04/2020",1
"60","Chhattisgarh","09/04/2020",8
"61","Chhattisgarh","19/03/2020",1
"62","Chhattisgarh","25/03/2020",2
"63","Chhattisgarh","26/03/2020",3
"64","Chhattisgarh","28/03/2020",1
"65","Chhattisgarh","30/03/2020",1
"66","Chhattisgarh","31/03/2020",1
"67","Dadra and Nagar Haveli","06/04/2020",1
"68","Delhi","01/04/2020",32
"69","Delhi","02/03/2020",1
"70","Delhi","02/04/2020",141
"71","Delhi","03/04/2020",93
"72","Delhi","04/04/2020",59
"73","Delhi","05/03/2020",1
"74","Delhi","05/04/2020",58
"75","Delhi","06/03/2020",1
"76","Delhi","06/04/2020",22
"77","Delhi","07/04/2020",51
"78","Delhi","08/04/2020",93
"79","Delhi","09/03/2020",1
"80","Delhi","09/04/2020",51
"81","Delhi","11/03/2020",1
"82","Delhi","12/03/2020",1
"83","Delhi","13/03/2020",1
"84","Delhi","17/03/2020",3
"85","Delhi","18/03/2020",1
"86","Delhi","19/03/2020",3
"87","Delhi","20/03/2020",6
"88","Delhi","21/03/2020",7
"89","Delhi","22/03/2020",1
"90","Delhi","23/03/2020",2
"91","Delhi","25/03/2020",5
"92","Delhi","26/03/2020",4
"93","Delhi","27/03/2020",1
"94","Delhi","28/03/2020",9
"95","Delhi","29/03/2020",23
"96","Delhi","30/03/2020",25
"97","Delhi","31/03/2020",23
"98","Goa","03/04/2020",1
"99","Goa","04/04/2020",1
"100","Goa","25/03/2020",3
"101","Goa","29/03/2020",2
"102","Gujarat","01/04/2020",13
"103","Gujarat","02/04/2020",1
"104","Gujarat","03/04/2020",7
"105","Gujarat","04/04/2020",13
"106","Gujarat","05/04/2020",20
"107","Gujarat","06/04/2020",18
"108","Gujarat","07/04/2020",29
"109","Gujarat","08/04/2020",11
"110","Gujarat","09/04/2020",76
"111","Gujarat","19/03/2020",2
"112","Gujarat","20/03/2020",5
"113","Gujarat","21/03/2020",7
"114","Gujarat","22/03/2020",4
"115","Gujarat","23/03/2020",12
"116","Gujarat","24/03/2020",6
"117","Gujarat","25/03/2020",2
"118","Gujarat","26/03/2020",6
"119","Gujarat","27/03/2020",3
"120","Gujarat","28/03/2020",8
"121","Gujarat","29/03/2020",8
"122","Gujarat","30/03/2020",7
"123","Gujarat","31/03/2020",4
"124","Haryana","02/04/2020",6
"125","Haryana","03/04/2020",9
"126","Haryana","04/03/2020",14
"127","Haryana","04/04/2020",26
"128","Haryana","05/04/2020",6
"129","Haryana","06/04/2020",20
"130","Haryana","07/04/2020",33
"131","Haryana","08/04/2020",24
"132","Haryana","09/04/2020",3
"133","Haryana","17/03/2020",1
"134","Haryana","18/03/2020",2
"135","Haryana","20/03/2020",2
"136","Haryana","21/03/2020",2
"137","Haryana","23/03/2020",7
"138","Haryana","24/03/2020",2
"139","Haryana","25/03/2020",1
"140","Haryana","26/03/2020",1
"141","Haryana","27/03/2020",1
"142","Haryana","28/03/2020",2
"143","Haryana","30/03/2020",1
"144","Haryana","31/03/2020",7
"145","Himachal Pradesh","02/04/2020",3
"146","Himachal Pradesh","04/04/2020",7
"147","Himachal Pradesh","05/04/2020",1
"148","Himachal Pradesh","06/04/2020",4
"149","Himachal Pradesh","07/04/2020",9
"150","Himachal Pradesh","09/04/2020",1
"151","Himachal Pradesh","20/03/2020",2
"152","Himachal Pradesh","23/03/2020",1
"153","Jammu and Kashmir","01/04/2020",7
"154","Jammu and Kashmir","02/04/2020",8
"155","Jammu and Kashmir","03/04/2020",5
"156","Jammu and Kashmir","04/04/2020",17
"157","Jammu and Kashmir","05/04/2020",14
"158","Jammu and Kashmir","06/04/2020",3
"159","Jammu and Kashmir","07/04/2020",16
"160","Jammu and Kashmir","08/04/2020",33
"161","Jammu and Kashmir","09/03/2020",1
"162","Jammu and Kashmir","09/04/2020",26
"163","Jammu and Kashmir","13/03/2020",1
"164","Jammu and Kashmir","16/03/2020",1
"165","Jammu and Kashmir","18/03/2020",1
"166","Jammu and Kashmir","24/03/2020",2
"167","Jammu and Kashmir","25/03/2020",5
"168","Jammu and Kashmir","26/03/2020",3
"169","Jammu and Kashmir","27/03/2020",6
"170","Jammu and Kashmir","28/03/2020",13
"171","Jammu and Kashmir","29/03/2020",5
"172","Jammu and Kashmir","30/03/2020",11
"173","Jammu and Kashmir","31/03/2020",6
"174","Jharkhand","02/04/2020",1
"175","Jharkhand","05/04/2020",1
"176","Jharkhand","06/04/2020",1
"177","Jharkhand","09/04/2020",9
"178","Jharkhand","31/03/2020",1
"179","Karnataka","01/04/2020",9
"180","Karnataka","02/04/2020",14
"181","Karnataka","03/04/2020",4
"182","Karnataka","04/04/2020",16
"183","Karnataka","05/04/2020",7
"184","Karnataka","06/04/2020",12
"185","Karnataka","07/04/2020",12
"186","Karnataka","08/04/2020",6
"187","Karnataka","09/03/2020",1
"188","Karnataka","09/04/2020",16
"189","Karnataka","10/03/2020",3
"190","Karnataka","12/03/2020",2
"191","Karnataka","16/03/2020",2
"192","Karnataka","17/03/2020",3
"193","Karnataka","18/03/2020",3
"194","Karnataka","19/03/2020",1
"195","Karnataka","21/03/2020",5
"196","Karnataka","22/03/2020",6
"197","Karnataka","23/03/2020",7
"198","Karnataka","24/03/2020",8
"199","Karnataka","25/03/2020",10
"200","Karnataka","26/03/2020",4
"201","Karnataka","27/03/2020",9
"202","Karnataka","28/03/2020",17
"203","Karnataka","29/03/2020",2
"204","Karnataka","30/03/2020",8
"205","Karnataka","31/03/2020",10
"206","Kerala","01/04/2020",24
"207","Kerala","02/02/2020",1
"208","Kerala","02/04/2020",21
"209","Kerala","03/02/2020",1
"210","Kerala","03/04/2020",9
"211","Kerala","04/04/2020",11
"212","Kerala","05/04/2020",8
"213","Kerala","06/04/2020",13
"214","Kerala","07/04/2020",9
"215","Kerala","08/03/2020",5
"216","Kerala","08/04/2020",9
"217","Kerala","09/03/2020",1
"218","Kerala","09/04/2020",12
"219","Kerala","10/03/2020",8
"220","Kerala","12/03/2020",2
"221","Kerala","13/03/2020",3
"222","Kerala","15/03/2020",2
"223","Kerala","16/03/2020",3
"224","Kerala","19/03/2020",1
"225","Kerala","20/03/2020",12
"226","Kerala","21/03/2020",12
"227","Kerala","22/03/2020",15
"228","Kerala","23/03/2020",28
"229","Kerala","24/03/2020",14
"230","Kerala","25/03/2020",9
"231","Kerala","26/03/2020",19
"232","Kerala","27/03/2020",39
"233","Kerala","28/03/2020",6
"234","Kerala","29/03/2020",20
"235","Kerala","30/01/2020",1
"236","Kerala","30/03/2020",32
"237","Kerala","31/03/2020",7
"238","Ladakh","03/04/2020",1
"239","Ladakh","07/03/2020",2
"240","Ladakh","11/03/2020",1
"241","Ladakh","17/03/2020",5
"242","Ladakh","20/03/2020",2
"243","Ladakh","21/03/2020",3
"244","Madhya Pradesh","01/04/2020",32
"245","Madhya Pradesh","02/04/2020",9
"246","Madhya Pradesh","03/04/2020",47
"247","Madhya Pradesh","04/04/2020",25
"248","Madhya Pradesh","05/04/2020",14
"249","Madhya Pradesh","06/04/2020",63
"250","Madhya Pradesh","07/04/2020",34
"251","Madhya Pradesh","08/04/2020",51
"252","Madhya Pradesh","09/04/2020",70
"253","Madhya Pradesh","20/03/2020",4
"254","Madhya Pradesh","22/03/2020",2
"255","Madhya Pradesh","24/03/2020",1
"256","Madhya Pradesh","25/03/2020",8
"257","Madhya Pradesh","26/03/2020",5
"258","Madhya Pradesh","27/03/2020",9
"259","Madhya Pradesh","28/03/2020",10
"260","Madhya Pradesh","30/03/2020",8
"261","Madhya Pradesh","31/03/2020",19
"262","Maharashtra","01/04/2020",33
"263","Maharashtra","02/04/2020",88
"264","Maharashtra","03/04/2020",64
"265","Maharashtra","04/04/2020",148
"266","Maharashtra","05/04/2020",112
"267","Maharashtra","06/04/2020",121
"268","Maharashtra","07/04/2020",150
"269","Maharashtra","08/04/2020",117
"270","Maharashtra","09/03/2020",2
"271","Maharashtra","09/04/2020",229
"272","Maharashtra","10/03/2020",3
"273","Maharashtra","11/03/2020",5
"274","Maharashtra","12/03/2020",4
"275","Maharashtra","13/03/2020",3
"276","Maharashtra","14/03/2020",14
"277","Maharashtra","15/03/2020",1
"278","Maharashtra","16/03/2020",7
"279","Maharashtra","17/03/2020",2
"280","Maharashtra","18/03/2020",4
"281","Maharashtra","19/03/2020",3
"282","Maharashtra","20/03/2020",6
"283","Maharashtra","21/03/2020",10
"284","Maharashtra","22/03/2020",10
"285","Maharashtra","23/03/2020",15
"286","Maharashtra","24/03/2020",18
"287","Maharashtra","25/03/2020",15
"288","Maharashtra","26/03/2020",3
"289","Maharashtra","27/03/2020",28
"290","Maharashtra","28/03/2020",28
"291","Maharashtra","29/03/2020",22
"292","Maharashtra","30/03/2020",17
"293","Maharashtra","31/03/2020",82
"294","Manipur","02/04/2020",1
"295","Manipur","24/03/2020",1
"296","Mizoram","25/03/2020",1
"297","Odisha","01/04/2020",1
"298","Odisha","03/04/2020",15
"299","Odisha","04/04/2020",1
"300","Odisha","05/04/2020",18
"301","Odisha","06/04/2020",1
"302","Odisha","07/04/2020",2
"303","Odisha","09/04/2020",2
"304","Odisha","16/03/2020",1
"305","Odisha","19/03/2020",1
"306","Odisha","26/03/2020",1
"307","Odisha","31/03/2020",1
"308","Puducherry","01/04/2020",2
"309","Puducherry","02/04/2020",2
"310","Puducherry","17/03/2020",1
"311","Punjab","01/04/2020",4
"312","Punjab","02/04/2020",1
"313","Punjab","03/04/2020",6
"314","Punjab","04/04/2020",12
"315","Punjab","05/04/2020",3
"316","Punjab","06/04/2020",11
"317","Punjab","07/04/2020",20
"318","Punjab","08/04/2020",7
"319","Punjab","09/03/2020",1
"320","Punjab","09/04/2020",24
"321","Punjab","19/03/2020",1
"322","Punjab","20/03/2020",1
"323","Punjab","21/03/2020",10
"324","Punjab","22/03/2020",8
"325","Punjab","23/03/2020",2
"326","Punjab","24/03/2020",6
"327","Punjab","25/03/2020",2
"328","Punjab","26/03/2020",2
"329","Punjab","27/03/2020",5
"330","Punjab","30/03/2020",3
"331","Punjab","31/03/2020",1
"332","Rajasthan","01/04/2020",27
"333","Rajasthan","02/04/2020",13
"334","Rajasthan","03/03/2020",1
"335","Rajasthan","03/04/2020",46
"336","Rajasthan","04/03/2020",1
"337","Rajasthan","04/04/2020",27
"338","Rajasthan","05/04/2020",60
"339","Rajasthan","06/04/2020",35
"340","Rajasthan","07/04/2020",42
"341","Rajasthan","08/04/2020",40
"342","Rajasthan","09/04/2020",80
"343","Rajasthan","10/03/2020",1
"344","Rajasthan","14/03/2020",1
"345","Rajasthan","18/03/2020",3
"346","Rajasthan","19/03/2020",2
"347","Rajasthan","20/03/2020",8
"348","Rajasthan","21/03/2020",7
"349","Rajasthan","22/03/2020",5
"350","Rajasthan","23/03/2020",3
"351","Rajasthan","25/03/2020",6
"352","Rajasthan","26/03/2020",5
"353","Rajasthan","27/03/2020",7
"354","Rajasthan","28/03/2020",4
"355","Rajasthan","29/03/2020",5
"356","Rajasthan","30/03/2020",20
"357","Rajasthan","31/03/2020",14
"358","Tamil Nadu","01/04/2020",110
"359","Tamil Nadu","02/04/2020",75
"360","Tamil Nadu","03/04/2020",102
"361","Tamil Nadu","04/04/2020",74
"362","Tamil Nadu","05/04/2020",86
"363","Tamil Nadu","06/04/2020",50
"364","Tamil Nadu","07/03/2020",1
"365","Tamil Nadu","07/04/2020",69
"366","Tamil Nadu","08/04/2020",48
"367","Tamil Nadu","09/04/2020",96
