"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","08/04/2020",1
"2","Andaman and Nicobar Islands","26/03/2020",1
"3","Andaman and Nicobar Islands","27/03/2020",5
"4","Andaman and Nicobar Islands","28/03/2020",3
"5","Andaman and Nicobar Islands","30/03/2020",1
"6","Andhra Pradesh","01/04/2020",67
"7","Andhra Pradesh","02/04/2020",38
"8","Andhra Pradesh","03/04/2020",15
"9","Andhra Pradesh","04/04/2020",28
"10","Andhra Pradesh","05/04/2020",60
"11","Andhra Pradesh","06/04/2020",51
"12","Andhra Pradesh","07/04/2020",11
"13","Andhra Pradesh","08/04/2020",34
"14","Andhra Pradesh","09/04/2020",15
"15","Andhra Pradesh","10/04/2020",18
"16","Andhra Pradesh","12/03/2020",1
"17","Andhra Pradesh","19/03/2020",2
"18","Andhra Pradesh","21/03/2020",2
"19","Andhra Pradesh","22/03/2020",1
"20","Andhra Pradesh","23/03/2020",1
"21","Andhra Pradesh","24/03/2020",1
"22","Andhra Pradesh","25/03/2020",2
"23","Andhra Pradesh","26/03/2020",1
"24","Andhra Pradesh","27/03/2020",2
"25","Andhra Pradesh","28/03/2020",6
"26","Andhra Pradesh","29/03/2020",2
"27","Andhra Pradesh","30/03/2020",2
"28","Andhra Pradesh","31/03/2020",21
"29","Arunachal Pradesh","02/04/2020",1
"30","Assam","01/04/2020",15
"31","Assam","03/04/2020",7
"32","Assam","04/04/2020",3
"33","Assam","07/04/2020",2
"34","Assam","09/04/2020",1
"35","Assam","31/03/2020",1
"36","Bihar","01/04/2020",3
"37","Bihar","02/04/2020",5
"38","Bihar","03/04/2020",2
"39","Bihar","04/04/2020",1
"40","Bihar","07/04/2020",6
"41","Bihar","08/04/2020",1
"42","Bihar","09/04/2020",19
"43","Bihar","10/04/2020",2
"44","Bihar","22/03/2020",2
"45","Bihar","23/03/2020",1
"46","Bihar","25/03/2020",1
"47","Bihar","26/03/2020",3
"48","Bihar","27/03/2020",2
"49","Bihar","28/03/2020",2
"50","Bihar","29/03/2020",4
"51","Bihar","31/03/2020",6
"52","Chandigarh","01/04/2020",2
"53","Chandigarh","02/04/2020",1
"54","Chandigarh","10/04/2020",1
"55","Chandigarh","19/03/2020",1
"56","Chandigarh","20/03/2020",4
"57","Chandigarh","22/03/2020",1
"58","Chandigarh","23/03/2020",1
"59","Chandigarh","27/03/2020",1
"60","Chandigarh","30/03/2020",5
"61","Chandigarh","31/03/2020",2
"62","Chhattisgarh","04/04/2020",1
"63","Chhattisgarh","09/04/2020",8
"64","Chhattisgarh","19/03/2020",1
"65","Chhattisgarh","25/03/2020",2
"66","Chhattisgarh","26/03/2020",3
"67","Chhattisgarh","28/03/2020",1
"68","Chhattisgarh","30/03/2020",1
"69","Chhattisgarh","31/03/2020",1
"70","Dadra and Nagar Haveli","06/04/2020",1
"71","Delhi","01/04/2020",32
"72","Delhi","02/03/2020",1
"73","Delhi","02/04/2020",141
"74","Delhi","03/04/2020",93
"75","Delhi","04/04/2020",59
"76","Delhi","05/03/2020",1
"77","Delhi","05/04/2020",58
"78","Delhi","06/03/2020",1
"79","Delhi","06/04/2020",22
"80","Delhi","07/04/2020",51
"81","Delhi","08/04/2020",93
"82","Delhi","09/03/2020",1
"83","Delhi","09/04/2020",51
"84","Delhi","10/04/2020",183
"85","Delhi","11/03/2020",1
"86","Delhi","12/03/2020",1
"87","Delhi","13/03/2020",1
"88","Delhi","17/03/2020",3
"89","Delhi","18/03/2020",1
"90","Delhi","19/03/2020",3
"91","Delhi","20/03/2020",6
"92","Delhi","21/03/2020",7
"93","Delhi","22/03/2020",1
"94","Delhi","23/03/2020",2
"95","Delhi","25/03/2020",5
"96","Delhi","26/03/2020",4
"97","Delhi","27/03/2020",1
"98","Delhi","28/03/2020",9
"99","Delhi","29/03/2020",23
"100","Delhi","30/03/2020",25
"101","Delhi","31/03/2020",23
"102","Goa","03/04/2020",1
"103","Goa","04/04/2020",1
"104","Goa","25/03/2020",3
"105","Goa","29/03/2020",2
"106","Gujarat","01/04/2020",13
"107","Gujarat","02/04/2020",1
"108","Gujarat","03/04/2020",7
"109","Gujarat","04/04/2020",13
"110","Gujarat","05/04/2020",20
"111","Gujarat","06/04/2020",18
"112","Gujarat","07/04/2020",29
"113","Gujarat","08/04/2020",11
"114","Gujarat","09/04/2020",76
"115","Gujarat","10/04/2020",116
"116","Gujarat","19/03/2020",2
"117","Gujarat","20/03/2020",5
"118","Gujarat","21/03/2020",7
"119","Gujarat","22/03/2020",4
"120","Gujarat","23/03/2020",12
"121","Gujarat","24/03/2020",6
"122","Gujarat","25/03/2020",2
"123","Gujarat","26/03/2020",6
"124","Gujarat","27/03/2020",3
"125","Gujarat","28/03/2020",8
"126","Gujarat","29/03/2020",8
"127","Gujarat","30/03/2020",7
"128","Gujarat","31/03/2020",4
"129","Haryana","02/04/2020",6
"130","Haryana","03/04/2020",9
"131","Haryana","04/03/2020",14
"132","Haryana","04/04/2020",26
"133","Haryana","05/04/2020",6
"134","Haryana","06/04/2020",20
"135","Haryana","07/04/2020",33
"136","Haryana","08/04/2020",24
"137","Haryana","09/04/2020",3
"138","Haryana","10/04/2020",6
"139","Haryana","17/03/2020",1
"140","Haryana","18/03/2020",2
"141","Haryana","20/03/2020",2
"142","Haryana","21/03/2020",2
"143","Haryana","23/03/2020",7
"144","Haryana","24/03/2020",2
"145","Haryana","25/03/2020",1
"146","Haryana","26/03/2020",1
"147","Haryana","27/03/2020",1
"148","Haryana","28/03/2020",2
"149","Haryana","30/03/2020",1
"150","Haryana","31/03/2020",7
"151","Himachal Pradesh","02/04/2020",3
"152","Himachal Pradesh","04/04/2020",7
"153","Himachal Pradesh","05/04/2020",1
"154","Himachal Pradesh","06/04/2020",4
"155","Himachal Pradesh","07/04/2020",9
"156","Himachal Pradesh","09/04/2020",1
"157","Himachal Pradesh","20/03/2020",2
"158","Himachal Pradesh","23/03/2020",1
"159","Jammu and Kashmir","01/04/2020",7
"160","Jammu and Kashmir","02/04/2020",8
"161","Jammu and Kashmir","03/04/2020",5
"162","Jammu and Kashmir","04/04/2020",17
"163","Jammu and Kashmir","05/04/2020",14
"164","Jammu and Kashmir","06/04/2020",3
"165","Jammu and Kashmir","07/04/2020",16
"166","Jammu and Kashmir","08/04/2020",33
"167","Jammu and Kashmir","09/03/2020",1
"168","Jammu and Kashmir","09/04/2020",26
"169","Jammu and Kashmir","10/04/2020",23
"170","Jammu and Kashmir","13/03/2020",1
"171","Jammu and Kashmir","16/03/2020",1
"172","Jammu and Kashmir","18/03/2020",1
"173","Jammu and Kashmir","24/03/2020",2
"174","Jammu and Kashmir","25/03/2020",5
"175","Jammu and Kashmir","26/03/2020",3
"176","Jammu and Kashmir","27/03/2020",6
"177","Jammu and Kashmir","28/03/2020",13
"178","Jammu and Kashmir","29/03/2020",5
"179","Jammu and Kashmir","30/03/2020",11
"180","Jammu and Kashmir","31/03/2020",6
"181","Jharkhand","02/04/2020",1
"182","Jharkhand","05/04/2020",1
"183","Jharkhand","06/04/2020",1
"184","Jharkhand","09/04/2020",9
"185","Jharkhand","10/04/2020",1
"186","Jharkhand","31/03/2020",1
"187","Karnataka","01/04/2020",9
"188","Karnataka","02/04/2020",14
"189","Karnataka","03/04/2020",4
"190","Karnataka","04/04/2020",16
"191","Karnataka","05/04/2020",7
"192","Karnataka","06/04/2020",12
"193","Karnataka","07/04/2020",12
"194","Karnataka","08/04/2020",6
"195","Karnataka","09/03/2020",1
"196","Karnataka","09/04/2020",16
"197","Karnataka","10/03/2020",3
"198","Karnataka","10/04/2020",10
"199","Karnataka","12/03/2020",2
"200","Karnataka","16/03/2020",2
"201","Karnataka","17/03/2020",3
"202","Karnataka","18/03/2020",3
"203","Karnataka","19/03/2020",1
"204","Karnataka","21/03/2020",5
"205","Karnataka","22/03/2020",6
"206","Karnataka","23/03/2020",7
"207","Karnataka","24/03/2020",8
"208","Karnataka","25/03/2020",10
"209","Karnataka","26/03/2020",4
"210","Karnataka","27/03/2020",9
"211","Karnataka","28/03/2020",17
"212","Karnataka","29/03/2020",2
"213","Karnataka","30/03/2020",8
"214","Karnataka","31/03/2020",10
"215","Kerala","01/04/2020",24
"216","Kerala","02/02/2020",1
"217","Kerala","02/04/2020",21
"218","Kerala","03/02/2020",1
"219","Kerala","03/04/2020",9
"220","Kerala","04/04/2020",11
"221","Kerala","05/04/2020",8
"222","Kerala","06/04/2020",13
"223","Kerala","07/04/2020",9
"224","Kerala","08/03/2020",5
"225","Kerala","08/04/2020",9
"226","Kerala","09/03/2020",1
"227","Kerala","09/04/2020",12
"228","Kerala","10/03/2020",8
"229","Kerala","10/04/2020",7
"230","Kerala","12/03/2020",2
"231","Kerala","13/03/2020",3
"232","Kerala","15/03/2020",2
"233","Kerala","16/03/2020",3
"234","Kerala","19/03/2020",1
"235","Kerala","20/03/2020",12
"236","Kerala","21/03/2020",12
"237","Kerala","22/03/2020",15
"238","Kerala","23/03/2020",28
"239","Kerala","24/03/2020",14
"240","Kerala","25/03/2020",9
"241","Kerala","26/03/2020",19
"242","Kerala","27/03/2020",39
"243","Kerala","28/03/2020",6
"244","Kerala","29/03/2020",20
"245","Kerala","30/01/2020",1
"246","Kerala","30/03/2020",32
"247","Kerala","31/03/2020",7
"248","Ladakh","03/04/2020",1
"249","Ladakh","07/03/2020",2
"250","Ladakh","10/04/2020",1
"251","Ladakh","11/03/2020",1
"252","Ladakh","17/03/2020",5
"253","Ladakh","20/03/2020",2
"254","Ladakh","21/03/2020",3
"255","Madhya Pradesh","01/04/2020",32
"256","Madhya Pradesh","02/04/2020",9
"257","Madhya Pradesh","03/04/2020",47
"258","Madhya Pradesh","04/04/2020",25
"259","Madhya Pradesh","05/04/2020",14
"260","Madhya Pradesh","06/04/2020",63
"261","Madhya Pradesh","07/04/2020",34
"262","Madhya Pradesh","08/04/2020",51
"263","Madhya Pradesh","09/04/2020",70
"264","Madhya Pradesh","10/04/2020",40
"265","Madhya Pradesh","20/03/2020",4
"266","Madhya Pradesh","22/03/2020",2
"267","Madhya Pradesh","24/03/2020",1
"268","Madhya Pradesh","25/03/2020",8
"269","Madhya Pradesh","26/03/2020",5
"270","Madhya Pradesh","27/03/2020",9
"271","Madhya Pradesh","28/03/2020",10
"272","Madhya Pradesh","30/03/2020",8
"273","Madhya Pradesh","31/03/2020",19
"274","Maharashtra","01/04/2020",33
"275","Maharashtra","02/04/2020",88
"276","Maharashtra","03/04/2020",64
"277","Maharashtra","04/04/2020",148
"278","Maharashtra","05/04/2020",112
"279","Maharashtra","06/04/2020",121
"280","Maharashtra","07/04/2020",150
"281","Maharashtra","08/04/2020",117
"282","Maharashtra","09/03/2020",2
"283","Maharashtra","09/04/2020",229
"284","Maharashtra","10/03/2020",3
"285","Maharashtra","10/04/2020",210
"286","Maharashtra","11/03/2020",5
"287","Maharashtra","12/03/2020",4
"288","Maharashtra","13/03/2020",3
"289","Maharashtra","14/03/2020",14
"290","Maharashtra","15/03/2020",1
"291","Maharashtra","16/03/2020",7
"292","Maharashtra","17/03/2020",2
"293","Maharashtra","18/03/2020",4
"294","Maharashtra","19/03/2020",3
"295","Maharashtra","20/03/2020",6
"296","Maharashtra","21/03/2020",10
"297","Maharashtra","22/03/2020",10
"298","Maharashtra","23/03/2020",15
"299","Maharashtra","24/03/2020",18
"300","Maharashtra","25/03/2020",15
"301","Maharashtra","26/03/2020",3
"302","Maharashtra","27/03/2020",28
"303","Maharashtra","28/03/2020",28
"304","Maharashtra","29/03/2020",22
"305","Maharashtra","30/03/2020",17
"306","Maharashtra","31/03/2020",82
"307","Manipur","02/04/2020",1
"308","Manipur","24/03/2020",1
"309","Mizoram","25/03/2020",1
"310","Odisha","01/04/2020",1
"311","Odisha","03/04/2020",15
"312","Odisha","04/04/2020",1
"313","Odisha","05/04/2020",18
"314","Odisha","06/04/2020",1
"315","Odisha","07/04/2020",2
"316","Odisha","09/04/2020",6
"317","Odisha","16/03/2020",1
"318","Odisha","19/03/2020",1
"319","Odisha","26/03/2020",1
"320","Odisha","31/03/2020",1
"321","Puducherry","01/04/2020",2
"322","Puducherry","02/04/2020",2
"323","Puducherry","10/04/2020",2
"324","Puducherry","17/03/2020",1
"325","Punjab","01/04/2020",4
"326","Punjab","02/04/2020",1
"327","Punjab","03/04/2020",6
"328","Punjab","04/04/2020",12
"329","Punjab","05/04/2020",3
"330","Punjab","06/04/2020",11
"331","Punjab","07/04/2020",20
"332","Punjab","08/04/2020",7
"333","Punjab","09/03/2020",1
"334","Punjab","09/04/2020",24
"335","Punjab","10/04/2020",21
"336","Punjab","19/03/2020",1
"337","Punjab","20/03/2020",1
"338","Punjab","21/03/2020",10
"339","Punjab","22/03/2020",8
"340","Punjab","23/03/2020",2
"341","Punjab","24/03/2020",6
"342","Punjab","25/03/2020",2
"343","Punjab","26/03/2020",2
"344","Punjab","27/03/2020",5
"345","Punjab","30/03/2020",3
"346","Punjab","31/03/2020",1
"347","Rajasthan","01/04/2020",27
"348","Rajasthan","02/04/2020",13
"349","Rajasthan","03/03/2020",1
"350","Rajasthan","03/04/2020",46
"351","Rajasthan","04/03/2020",1
"352","Rajasthan","04/04/2020",27
"353","Rajasthan","05/04/2020",60
"354","Rajasthan","06/04/2020",35
"355","Rajasthan","07/04/2020",42
"356","Rajasthan","08/04/2020",40
"357","Rajasthan","09/04/2020",80
"358","Rajasthan","10/03/2020",1
"359","Rajasthan","10/04/2020",98
"360","Rajasthan","14/03/2020",1
"361","Rajasthan","18/03/2020",3
"362","Rajasthan","19/03/2020",2
"363","Rajasthan","20/03/2020",8
"364","Rajasthan","21/03/2020",7
"365","Rajasthan","22/03/2020",5
"366","Rajasthan","23/03/2020",3
"367","Rajasthan","25/03/2020",6
"368","Rajasthan","26/03/2020",5
"369","Rajasthan","27/03/2020",7
