"","detectedstate","dateannounced","numberofcases"
"1","Andaman and Nicobar Islands","26/03/2020",1
"2","Andaman and Nicobar Islands","27/03/2020",5
"3","Andaman and Nicobar Islands","28/03/2020",3
"4","Andaman and Nicobar Islands","30/03/2020",1
"5","Andhra Pradesh","01/04/2020",67
"6","Andhra Pradesh","02/04/2020",38
"7","Andhra Pradesh","03/04/2020",15
"8","Andhra Pradesh","04/04/2020",28
"9","Andhra Pradesh","05/04/2020",60
"10","Andhra Pradesh","06/04/2020",51
"11","Andhra Pradesh","07/04/2020",1
"12","Andhra Pradesh","12/03/2020",1
"13","Andhra Pradesh","19/03/2020",2
"14","Andhra Pradesh","21/03/2020",2
"15","Andhra Pradesh","22/03/2020",1
"16","Andhra Pradesh","23/03/2020",1
"17","Andhra Pradesh","24/03/2020",1
"18","Andhra Pradesh","25/03/2020",2
"19","Andhra Pradesh","26/03/2020",1
"20","Andhra Pradesh","27/03/2020",2
"21","Andhra Pradesh","28/03/2020",6
"22","Andhra Pradesh","29/03/2020",2
"23","Andhra Pradesh","30/03/2020",2
"24","Andhra Pradesh","31/03/2020",21
"25","Arunachal Pradesh","02/04/2020",1
"26","Assam","01/04/2020",15
"27","Assam","03/04/2020",7
"28","Assam","04/04/2020",3
"29","Assam","07/04/2020",1
"30","Assam","31/03/2020",1
"31","Bihar","01/04/2020",3
"32","Bihar","02/04/2020",5
"33","Bihar","03/04/2020",2
"34","Bihar","04/04/2020",1
"35","Bihar","07/04/2020",2
"36","Bihar","22/03/2020",2
"37","Bihar","23/03/2020",1
"38","Bihar","25/03/2020",1
"39","Bihar","26/03/2020",3
"40","Bihar","27/03/2020",2
"41","Bihar","28/03/2020",2
"42","Bihar","29/03/2020",4
"43","Bihar","31/03/2020",6
"44","Chandigarh","01/04/2020",2
"45","Chandigarh","02/04/2020",1
"46","Chandigarh","19/03/2020",1
"47","Chandigarh","20/03/2020",4
"48","Chandigarh","22/03/2020",1
"49","Chandigarh","23/03/2020",1
"50","Chandigarh","27/03/2020",1
"51","Chandigarh","30/03/2020",5
"52","Chandigarh","31/03/2020",2
"53","Chhattisgarh","04/04/2020",1
"54","Chhattisgarh","19/03/2020",1
"55","Chhattisgarh","25/03/2020",2
"56","Chhattisgarh","26/03/2020",3
"57","Chhattisgarh","28/03/2020",1
"58","Chhattisgarh","30/03/2020",1
"59","Chhattisgarh","31/03/2020",1
"60","Dadra and Nagar Haveli","06/04/2020",1
"61","Delhi","01/04/2020",32
"62","Delhi","02/03/2020",1
"63","Delhi","02/04/2020",141
"64","Delhi","03/04/2020",93
"65","Delhi","04/04/2020",59
"66","Delhi","05/03/2020",1
"67","Delhi","05/04/2020",58
"68","Delhi","06/03/2020",1
"69","Delhi","06/04/2020",22
"70","Delhi","09/03/2020",1
"71","Delhi","11/03/2020",1
"72","Delhi","12/03/2020",1
"73","Delhi","13/03/2020",1
"74","Delhi","17/03/2020",3
"75","Delhi","18/03/2020",1
"76","Delhi","19/03/2020",3
"77","Delhi","20/03/2020",6
"78","Delhi","21/03/2020",7
"79","Delhi","22/03/2020",1
"80","Delhi","23/03/2020",2
"81","Delhi","25/03/2020",5
"82","Delhi","26/03/2020",4
"83","Delhi","27/03/2020",1
"84","Delhi","28/03/2020",9
"85","Delhi","29/03/2020",23
"86","Delhi","30/03/2020",25
"87","Delhi","31/03/2020",23
"88","Goa","03/04/2020",1
"89","Goa","04/04/2020",1
"90","Goa","25/03/2020",3
"91","Goa","29/03/2020",2
"92","Gujarat","01/04/2020",13
"93","Gujarat","02/04/2020",1
"94","Gujarat","03/04/2020",7
"95","Gujarat","04/04/2020",13
"96","Gujarat","05/04/2020",20
"97","Gujarat","06/04/2020",18
"98","Gujarat","07/04/2020",19
"99","Gujarat","19/03/2020",2
"100","Gujarat","20/03/2020",5
"101","Gujarat","21/03/2020",7
"102","Gujarat","22/03/2020",4
