"","detectedstate","dateannounced","numberofcases"
"1","","07/04/2020",1
"2","Andaman and Nicobar Islands","08/04/2020",1
"3","Andaman and Nicobar Islands","26/03/2020",1
"4","Andaman and Nicobar Islands","27/03/2020",5
"5","Andaman and Nicobar Islands","28/03/2020",3
"6","Andaman and Nicobar Islands","30/03/2020",1
"7","Andhra Pradesh","01/04/2020",67
"8","Andhra Pradesh","02/04/2020",38
"9","Andhra Pradesh","03/04/2020",15
"10","Andhra Pradesh","04/04/2020",28
"11","Andhra Pradesh","05/04/2020",60
"12","Andhra Pradesh","06/04/2020",51
"13","Andhra Pradesh","07/04/2020",11
"14","Andhra Pradesh","08/04/2020",34
"15","Andhra Pradesh","09/04/2020",15
"16","Andhra Pradesh","10/04/2020",18
"17","Andhra Pradesh","11/04/2020",24
"18","Andhra Pradesh","12/03/2020",1
"19","Andhra Pradesh","12/04/2020",15
"20","Andhra Pradesh","19/03/2020",2
"21","Andhra Pradesh","21/03/2020",2
"22","Andhra Pradesh","22/03/2020",1
"23","Andhra Pradesh","23/03/2020",1
"24","Andhra Pradesh","24/03/2020",1
"25","Andhra Pradesh","25/03/2020",2
"26","Andhra Pradesh","26/03/2020",1
"27","Andhra Pradesh","27/03/2020",2
"28","Andhra Pradesh","28/03/2020",6
"29","Andhra Pradesh","29/03/2020",2
"30","Andhra Pradesh","30/03/2020",2
"31","Andhra Pradesh","31/03/2020",21
"32","Arunachal Pradesh","02/04/2020",1
"33","Assam","01/04/2020",15
"34","Assam","03/04/2020",7
"35","Assam","04/04/2020",3
"36","Assam","07/04/2020",2
"37","Assam","09/04/2020",1
"38","Assam","31/03/2020",1
"39","Bihar","01/04/2020",3
"40","Bihar","02/04/2020",5
"41","Bihar","03/04/2020",2
"42","Bihar","04/04/2020",1
"43","Bihar","07/04/2020",6
"44","Bihar","08/04/2020",1
"45","Bihar","09/04/2020",19
"46","Bihar","10/04/2020",2
"47","Bihar","11/04/2020",4
"48","Bihar","22/03/2020",2
"49","Bihar","23/03/2020",1
"50","Bihar","25/03/2020",1
"51","Bihar","26/03/2020",3
"52","Bihar","27/03/2020",2
"53","Bihar","28/03/2020",2
"54","Bihar","29/03/2020",4
"55","Bihar","31/03/2020",6
"56","Chandigarh","01/04/2020",2
"57","Chandigarh","02/04/2020",1
"58","Chandigarh","10/04/2020",1
"59","Chandigarh","12/04/2020",2
"60","Chandigarh","19/03/2020",1
"61","Chandigarh","20/03/2020",4
"62","Chandigarh","22/03/2020",1
"63","Chandigarh","23/03/2020",1
"64","Chandigarh","27/03/2020",1
"65","Chandigarh","30/03/2020",5
"66","Chandigarh","31/03/2020",2
"67","Chhattisgarh","04/04/2020",1
"68","Chhattisgarh","09/04/2020",8
"69","Chhattisgarh","11/04/2020",7
"70","Chhattisgarh","12/04/2020",6
"71","Chhattisgarh","19/03/2020",1
